"NEWID","UCC","AMOUNT","AMOUNT_","PUB_FLAG"
2825351,"900030",23222,,"1"
2825351,"900150",1649,,"1"
2825351,"900170",23200,,"1"
2825351,"980000",48071,,"1"
2825351,"980010",2,,"1"
2825351,"980020",71,,"1"
2825351,"980060",2,,"1"
2825351,"980070",48071,,"1"
2825351,"980090",100,,"1"
2825351,"980210",100,,"1"
2825351,"980250",100,,"1"
2825351,"980281",100,,"1"
2825351,"980286",100,,"1"
2825351,"980310",100,,"1"
2825352,"900030",29158,,"1"
2825352,"900170",18880,,"1"
2825352,"980000",48038,,"1"
2825352,"980010",2,,"1"
2825352,"980020",71,,"1"
2825352,"980060",2,,"1"
2825352,"980070",48038,,"1"
2825352,"980090",100,,"1"
2825352,"980210",100,,"1"
2825352,"980250",100,,"1"
2825352,"980281",100,,"1"
2825352,"980286",100,,"1"
2825352,"980310",100,,"1"
2825371,"900030",16859,,"1"
2825371,"950011",-400,,"1"
2825371,"980000",16859,,"1"
2825371,"980010",1,,"1"
2825371,"980020",65,,"1"
2825371,"980040",1,,"1"
2825371,"980060",1,,"1"
2825371,"980070",17259,,"1"
2825371,"980090",100,,"1"
2825371,"980210",100,,"1"
2825371,"980240",100,,"1"
2825371,"980281",100,,"1"
2825371,"980286",100,,"1"
2825371,"980300",100,,"1"
2825371,"980330",100,,"1"
2825372,"900030",16859,,"1"
2825372,"950011",-400,,"1"
2825372,"980000",16859,,"1"
2825372,"980010",1,,"1"
2825372,"980020",65,,"1"
2825372,"980040",1,,"1"
2825372,"980060",1,,"1"
2825372,"980070",17259,,"1"
2825372,"980090",100,,"1"
2825372,"980210",100,,"1"
2825372,"980240",100,,"1"
2825372,"980281",100,,"1"
2825372,"980286",100,,"1"
2825372,"980300",100,,"1"
2825372,"980330",100,,"1"
2825381,"900030",24118,,"1"
2825381,"900160",28204,,"1"
2825381,"900170",26400,,"1"
2825381,"950003",8000,,"1"
2825381,"950013",500,,"1"
2825381,"980000",78722,,"1"
2825381,"980010",2,,"1"
2825381,"980020",76,,"1"
2825381,"980030",2,,"1"
2825381,"980040",4,,"1"
2825381,"980060",2,,"1"
2825381,"980070",70222,,"1"
2825381,"980090",100,,"1"
2825381,"980210",100,,"1"
2825381,"980230",100,,"1"
2825381,"980281",100,,"1"
2825381,"980286",100,,"1"
2825381,"980310",100,,"1"
2825381,"980330",100,,"1"
