"UCC","AMOUNT","IMPNUM","NEWID","PUB_FLAG","AMOUNT_"
"900030",21168,"1",2825351,"1",
"900030",25272,"2",2825351,"1",
"900030",29436,"3",2825351,"1",
"900030",24828,"4",2825351,"1",
"900030",15408,"5",2825351,"1",
"900150",408,"1",2825351,"1",
"900150",1812,"2",2825351,"1",
"900150",2616,"3",2825351,"1",
"900150",2580,"4",2825351,"1",
"900150",828,"5",2825351,"1",
"900170",31017,"1",2825351,"1",
"900170",25491,"2",2825351,"1",
"900170",2205,"3",2825351,"1",
"900170",48117,"4",2825351,"1",
"900170",9171,"5",2825351,"1",
"980000",52593,"1",2825351,"1",
"980000",52575,"2",2825351,"1",
"980000",34257,"3",2825351,"1",
"980000",75525,"4",2825351,"1",
"980000",25407,"5",2825351,"1",
"980070",52593,"1",2825351,"1",
"980070",52575,"2",2825351,"1",
"980070",34257,"3",2825351,"1",
"980070",75525,"4",2825351,"1",
"980070",25407,"5",2825351,"1",
"900030",18960,"1",2825352,"1",
"900030",37656,"2",2825352,"1",
"900030",40332,"3",2825352,"1",
"900030",27756,"4",2825352,"1",
"900030",21084,"5",2825352,"1",
"900170",7192,"1",2825352,"1",
"900170",6721,"2",2825352,"1",
"900170",725,"3",2825352,"1",
"900170",48372,"4",2825352,"1",
"900170",31392,"5",2825352,"1",
"980000",26152,"1",2825352,"1",
"980000",44377,"2",2825352,"1",
"980000",41057,"3",2825352,"1",
"980000",76128,"4",2825352,"1",
"980000",52476,"5",2825352,"1",
"980070",26152,"1",2825352,"1",
"980070",44377,"2",2825352,"1",
"980070",41057,"3",2825352,"1",
"980070",76128,"4",2825352,"1",
"980070",52476,"5",2825352,"1",
"900030",16859,"1",2825371,"1",
"900030",16859,"2",2825371,"1",
"900030",16859,"3",2825371,"1",
"900030",16859,"4",2825371,"1",
"900030",16859,"5",2825371,"1",
"980000",16859,"1",2825371,"1",
"980000",16859,"2",2825371,"1",
"980000",16859,"3",2825371,"1",
"980000",16859,"4",2825371,"1",
"980000",16859,"5",2825371,"1",
"980070",17259,"1",2825371,"1",
"980070",17259,"2",2825371,"1",
"980070",17259,"3",2825371,"1",
"980070",17259,"4",2825371,"1",
"980070",17259,"5",2825371,"1",
"900030",16859,"1",2825372,"1",
"900030",16859,"2",2825372,"1",
"900030",16859,"3",2825372,"1",
"900030",16859,"4",2825372,"1",
"900030",16859,"5",2825372,"1",
"980000",16859,"1",2825372,"1",
"980000",16859,"2",2825372,"1",
"980000",16859,"3",2825372,"1",
"980000",16859,"4",2825372,"1",
"980000",16859,"5",2825372,"1",
"980070",17259,"1",2825372,"1",
"980070",17259,"2",2825372,"1",
"980070",17259,"3",2825372,"1",
"980070",17259,"4",2825372,"1",
"980070",17259,"5",2825372,"1",
"900030",24118,"1",2825381,"1",
"900030",24118,"2",2825381,"1",
"900030",24118,"3",2825381,"1",
"900030",24118,"4",2825381,"1",
"900030",24118,"5",2825381,"1",
"900160",25543,"1",2825381,"1",
"900160",13976,"2",2825381,"1",
"900160",15931,"3",2825381,"1",
"900160",58115,"4",2825381,"1",
"900160",27456,"5",2825381,"1",
"900170",26400,"1",2825381,"1",
"900170",26400,"2",2825381,"1",
"900170",26400,"3",2825381,"1",
"900170",26400,"4",2825381,"1",
"900170",26400,"5",2825381,"1",
"980000",76061,"1",2825381,"1",
"980000",64494,"2",2825381,"1",
"980000",66449,"3",2825381,"1",
"980000",108633,"4",2825381,"1",
"980000",77974,"5",2825381,"1",
"980070",67561,"1",2825381,"1",
"980070",55994,"2",2825381,"1",
"980070",57949,"3",2825381,"1",
"980070",100133,"4",2825381,"1",
"980070",69474,"5",2825381,"1",
"900030",24118,"1",2825382,"1",
"900030",24118,"2",2825382,"1",
"900030",24118,"3",2825382,"1",
"900030",24118,"4",2825382,"1",
"900030",24118,"5",2825382,"1",
"900160",20388,"1",2825382,"1",
"900160",79071,"2",2825382,"1",
"900160",20209,"3",2825382,"1",
"900160",15321,"4",2825382,"1",
"900160",68741,"5",2825382,"1",
"900170",26400,"1",2825382,"1",
"900170",26400,"2",2825382,"1",
"900170",26400,"3",2825382,"1",
"900170",26400,"4",2825382,"1",
"900170",26400,"5",2825382,"1",
"980000",70906,"1",2825382,"1",
"980000",129589,"2",2825382,"1",
"980000",70727,"3",2825382,"1",
