"NEWID","UCC","AMOUNT","AMOUNT_","PUB_FLAG"
2878851,"900000",74631,,"1"
2878851,"980000",74631,,"1"
2878851,"980010",2,,"1"
2878851,"980020",54,,"1"
2878851,"980030",1,,"1"
2878851,"980040",1,,"1"
2878851,"980050",1,,"1"
2878851,"980070",74631,,"1"
2878851,"980090",100,,"1"
2878851,"980220",100,,"1"
2878851,"980230",100,,"1"
2878851,"980281",100,,"1"
2878851,"980286",100,,"1"
2878851,"980310",100,,"1"
2878851,"980330",100,,"1"
2878852,"900000",79572,,"1"
2878852,"980000",79572,,"1"
2878852,"980010",2,,"1"
2878852,"980020",54,,"1"
2878852,"980030",1,,"1"
2878852,"980040",1,,"1"
2878852,"980050",1,,"1"
2878852,"980070",79572,,"1"
2878852,"980090",100,,"1"
2878852,"980220",100,,"1"
2878852,"980230",100,,"1"
2878852,"980281",100,,"1"
2878852,"980286",100,,"1"
2878852,"980310",100,,"1"
2878852,"980330",100,,"1"
2878861,"900000",24231,,"1"
2878861,"900140",2200,,"1"
2878861,"950001",-1800,,"1"
2878861,"980000",26431,,"1"
2878861,"980010",2,,"1"
2878861,"980020",21,,"1"
2878861,"980030",2,,"1"
2878861,"980040",1,,"1"
2878861,"980070",28231,,"1"
2878861,"980210",100,,"1"
2878861,"980260",100,,"1"
2878861,"980281",100,,"1"
2878861,"980286",100,,"1"
2878861,"980310",100,,"1"
2878861,"980330",100,,"1"
2878862,"900000",24231,,"1"
2878862,"900140",2200,,"1"
2878862,"950001",-1800,,"1"
2878862,"980000",26431,,"1"
2878862,"980010",2,,"1"
2878862,"980020",21,,"1"
2878862,"980030",2,,"1"
2878862,"980040",1,,"1"
2878862,"980070",28231,,"1"
2878862,"980210",100,,"1"
2878862,"980260",100,,"1"
2878862,"980281",100,,"1"
2878862,"980286",100,,"1"
2878862,"980310",100,,"1"
2878862,"980330",100,,"1"
2878871,"900000",92000,,"1"
2878871,"980000",92000,,"1"
2878871,"980010",3,,"1"
2878871,"980020",29,,"1"
2878871,"980030",2,,"1"
2878871,"980040",2,,"1"
2878871,"980050",1,,"1"
2878871,"980070",92000,,"1"
2878871,"980220",100,,"1"
2878871,"980260",100,,"1"
2878871,"980281",100,,"1"
2878871,"980285",100,,"1"
2878871,"980310",100,,"1"
2878871,"980330",100,,"1"
2878872,"900000",92000,,"1"
2878872,"980000",92000,,"1"
2878872,"980010",3,,"1"
2878872,"980020",29,,"1"
2878872,"980030",2,,"1"
2878872,"980040",2,,"1"
2878872,"980050",1,,"1"
2878872,"980070",92000,,"1"
2878872,"980220",100,,"1"
2878872,"980260",100,,"1"
2878872,"980281",100,,"1"
2878872,"980285",100,,"1"
2878872,"980310",100,,"1"
2878872,"980330",100,,"1"
2878881,"800710",1000,,"1"
2878881,"900030",1120,,"1"
2878881,"900150",3048,,"1"
2878881,"980000",4168,,"1"
2878881,"980010",2,,"1"
2878881,"980020",62,,"1"
2878881,"980050",1,,"1"
2878881,"980070",4168,,"1"
2878881,"980220",100,,"1"
2878881,"980260",100,,"1"
2878881,"980270",100,,"1"
2878881,"980286",100,,"1"
2878881,"980310",100,,"1"
2878882,"800710",1000,,"1"
2878882,"900030",1120,,"1"
2878882,"900150",3048,,"1"
2878882,"980000",4168,,"1"
2878882,"980010",2,,"1"
2878882,"980020",62,,"1"
2878882,"980050",1,,"1"
2878882,"980070",4168,,"1"
2878882,"980220",100,,"1"
2878882,"980260",100,,"1"
2878882,"980270",100,,"1"
2878882,"980286",100,,"1"
2878882,"980310",100,,"1"
2878911,"900000",37000,,"1"
2878911,"900150",5496,,"1"
2878911,"900220",3756,,"1"
2878911,"950001",-7200,,"1"
2878911,"980000",42496,,"1"
2878911,"980010",6,,"1"
2878911,"980020",34,,"1"
2878911,"980030",2,,"1"
2878911,"980040",1,,"1"
2878911,"980050",4,,"1"
2878911,"980070",49696,,"1"
2878911,"980090",100,,"1"
2878911,"980220",100,,"1"
2878911,"980230",100,,"1"
2878911,"980270",100,,"1"
2878911,"980286",100,,"1"
2878911,"980310",100,,"1"
2878911,"980330",100,,"1"
2878912,"900000",37000,,"1"
2878912,"900150",5496,,"1"
2878912,"900220",3756,,"1"
2878912,"950001",-7200,,"1"
2878912,"980000",42496,,"1"
2878912,"980010",6,,"1"
2878912,"980020",34,,"1"
2878912,"980030",2,,"1"
2878912,"980040",1,,"1"
2878912,"980050",4,,"1"
2878912,"980070",49696,,"1"
2878912,"980090",100,,"1"
2878912,"980220",100,,"1"
2878912,"980230",100,,"1"
2878912,"980270",100,,"1"
2878912,"980286",100,,"1"
2878912,"980310",100,,"1"
2878912,"980330",100,,"1"
2878921,"900030",9107,,"1"
2878921,"900150",180,,"1"
2878921,"980000",9287,,"1"
2878921,"980010",1,,"1"
2878921,"980020",49,,"1"
2878921,"980040",1,,"1"
2878921,"980070",9287,,"1"
2878921,"980220",100,,"1"
2878921,"980260",100,,"1"
2878921,"980281",100,,"1"
2878921,"980286",100,,"1"
2878921,"980300",100,,"1"
2878921,"980330",100,,"1"
2878922,"900030",9107,,"1"
2878922,"900150",180,,"1"
2878922,"980000",9287,,"1"
2878922,"980010",1,,"1"
