"UCC","AMOUNT","IMPNUM","NEWID","PUB_FLAG","AMOUNT_"
"900000",29000,"1",2933752,"1",
"900000",29000,"2",2933752,"1",
"900000",29000,"3",2933752,"1",
"900000",29000,"4",2933752,"1",
"900000",29000,"5",2933752,"1",
"980000",29000,"1",2933752,"1",
"980000",29000,"2",2933752,"1",
"980000",29000,"3",2933752,"1",
"980000",29000,"4",2933752,"1",
"980000",29000,"5",2933752,"1",
"980070",30700,"1",2933752,"1",
"980070",30700,"2",2933752,"1",
"980070",30700,"3",2933752,"1",
"980070",30700,"4",2933752,"1",
"980070",30700,"5",2933752,"1",
"900000",44336,"1",2933771,"1",
"900000",35455,"2",2933771,"1",
"900000",24744,"3",2933771,"1",
"900000",33539,"4",2933771,"1",
"900000",46084,"5",2933771,"1",
"900150",6252,"1",2933771,"1",
"900150",2496,"2",2933771,"1",
"900150",4452,"3",2933771,"1",
"900150",4164,"4",2933771,"1",
"900150",15996,"5",2933771,"1",
"980000",50588,"1",2933771,"1",
"980000",37951,"2",2933771,"1",
"980000",29196,"3",2933771,"1",
"980000",37703,"4",2933771,"1",
"980000",62080,"5",2933771,"1",
"980070",50588,"1",2933771,"1",
"980070",37951,"2",2933771,"1",
"980070",29196,"3",2933771,"1",
"980070",37703,"4",2933771,"1",
"980070",62080,"5",2933771,"1",
"900000",47865,"1",2933772,"1",
"900000",28403,"2",2933772,"1",
"900000",35075,"3",2933772,"1",
"900000",42103,"4",2933772,"1",
"900000",40322,"5",2933772,"1",
"900150",2604,"1",2933772,"1",
"900150",4932,"2",2933772,"1",
"900150",4236,"3",2933772,"1",
"900150",7848,"4",2933772,"1",
"900150",6816,"5",2933772,"1",
"980000",50469,"1",2933772,"1",
"980000",33335,"2",2933772,"1",
"980000",39311,"3",2933772,"1",
"980000",49951,"4",2933772,"1",
"980000",47138,"5",2933772,"1",
"980070",50469,"1",2933772,"1",
"980070",33335,"2",2933772,"1",
"980070",39311,"3",2933772,"1",
"980070",49951,"4",2933772,"1",
"980070",47138,"5",2933772,"1",
"900000",65473,"1",2933781,"1",
"900000",30971,"2",2933781,"1",
"900000",36746,"3",2933781,"1",
"900000",144570,"4",2933781,"1",
"900000",44465,"5",2933781,"1",
"980000",65473,"1",2933781,"1",
"980000",30971,"2",2933781,"1",
"980000",36746,"3",2933781,"1",
"980000",144570,"4",2933781,"1",
"980000",44465,"5",2933781,"1",
"980070",65473,"1",2933781,"1",
"980070",30971,"2",2933781,"1",
"980070",36746,"3",2933781,"1",
"980070",144570,"4",2933781,"1",
"980070",44465,"5",2933781,"1",
"900000",44641,"1",2933782,"1",
"900000",114249,"2",2933782,"1",
"900000",45798,"3",2933782,"1",
"900000",78142,"4",2933782,"1",
"900000",63787,"5",2933782,"1",
"980000",44641,"1",2933782,"1",
"980000",114249,"2",2933782,"1",
"980000",45798,"3",2933782,"1",
"980000",78142,"4",2933782,"1",
"980000",63787,"5",2933782,"1",
"980070",44641,"1",2933782,"1",
"980070",114249,"2",2933782,"1",
"980070",45798,"3",2933782,"1",
"980070",78142,"4",2933782,"1",
"980070",63787,"5",2933782,"1",
"900000",176000,"1",2933801,"1",
"900000",176000,"2",2933801,"1",
"900000",176000,"3",2933801,"1",
"900000",176000,"4",2933801,"1",
"900000",176000,"5",2933801,"1",
"900180",500,"1",2933801,"1",
"900180",500,"2",2933801,"1",
"900180",500,"3",2933801,"1",
"900180",500,"4",2933801,"1",
"900180",500,"5",2933801,"1",
"980000",176500,"1",2933801,"1",
"980000",176500,"2",2933801,"1",
"980000",176500,"3",2933801,"1",
"980000",176500,"4",2933801,"1",
"980000",176500,"5",2933801,"1",
"980070",180100,"1",2933801,"1",
"980070",180100,"2",2933801,"1",
"980070",180100,"3",2933801,"1",
"980070",180100,"4",2933801,"1",
"980070",180100,"5",2933801,"1",
"900000",176000,"1",2933802,"1",
"900000",176000,"2",2933802,"1",
"900000",176000,"3",2933802,"1",
"900000",176000,"4",2933802,"1",
"900000",176000,"5",2933802,"1",
"900180",500,"1",2933802,"1",
"900180",500,"2",2933802,"1",
"900180",500,"3",2933802,"1",
"900180",500,"4",2933802,"1",
"900180",500,"5",2933802,"1",
"980000",176500,"1",2933802,"1",
"980000",176500,"2",2933802,"1",
"980000",176500,"3",2933802,"1",
"980000",176500,"4",2933802,"1",
"980000",176500,"5",2933802,"1",
"980070",180100,"1",2933802,"1",
"980070",180100,"2",2933802,"1",
"980070",180100,"3",2933802,"1",
"980070",180100,"4",2933802,"1",
"980070",180100,"5",2933802,"1",
"900000",31654,"1",2933831,"1",
"900000",979,"2",2933831,"1",
"900000",15782,"3",2933831,"1",
"900000",6032,"4",2933831,"1",
"900000",40000,"5",2933831,"1",
"900030",7583,"1",2933831,"1",
"900030",15059,"2",2933831,"1",
"900030",12851,"3",2933831,"1",
"900030",19595,"4",2933831,"1",
"900030",12839,"5",2933831,"1",
"980000",39237,"1",2933831,"1",
"980000",16038,"2",2933831,"1",
"980000",28633,"3",2933831,"1",
"980000",25627,"4",2933831,"1",
"980000",52839,"5",2933831,"1",
"980070",39237,"1",2933831,"1",
"980070",16038,"2",2933831,"1",
"980070",28633,"3",2933831,"1",
"980070",25627,"4",2933831,"1",
"980070",52839,"5",2933831,"1",
"900000",17418,"1",2933832,"1",
"900000",14295,"2",2933832,"1",
"900000",7310,"3",2933832,"1",
"900000",14139,"4",2933832,"1",
"900000",2996,"5",2933832,"1",
"900030",10199,"1",2933832,"1",
"900030",8747,"2",2933832,"1",
"900030",12059,"3",2933832,"1",
"900030",18671,"4",2933832,"1",
"900030",11723,"5",2933832,"1",
"980000",27617,"1",2933832,"1",
"980000",23042,"2",2933832,"1",
"980000",19369,"3",2933832,"1",
"980000",32810,"4",2933832,"1",
"980000",14719,"5",2933832,"1",
"980070",27617,"1",2933832,"1",
"980070",23042,"2",2933832,"1",
"980070",19369,"3",2933832,"1",
"980070",32810,"4",2933832,"1",
"980070",14719,"5",2933832,"1",
"900000",6403,"1",2933851,"1",
"900000",9300,"2",2933851,"1",
"900000",5019,"3",2933851,"1",
"900000",6342,"4",2933851,"1",
"900000",7094,"5",2933851,"1",
"900030",28859,"1",2933851,"1",
"900030",28859,"2",2933851,"1",
"900030",28859,"3",2933851,"1",
"900030",28859,"4",2933851,"1",
"900030",28859,"5",2933851,"1",
"900180",137,"1",2933851,"1",
"900180",72,"2",2933851,"1",
"900180",30,"3",2933851,"1",
"900180",745,"4",2933851,"1",
"900180",805,"5",2933851,"1",
"980000",35399,"1",2933851,"1",
"980000",38231,"2",2933851,"1",
"980000",33908,"3",2933851,"1",
"980000",35946,"4",2933851,"1",
"980000",36758,"5",2933851,"1",
"980070",35639,"1",2933851,"1",
"980070",38471,"2",2933851,"1",
"980070",34148,"3",2933851,"1",
"980070",36186,"4",2933851,"1",
"980070",36998,"5",2933851,"1",
"900000",9154,"1",2933852,"1",
"900000",8555,"2",2933852,"1",
"900000",9788,"3",2933852,"1",
"900000",7507,"4",2933852,"1",
"900000",5980,"5",2933852,"1",
"900030",28859,"1",2933852,"1",
"900030",28859,"2",2933852,"1",
"900030",28859,"3",2933852,"1",
"900030",28859,"4",2933852,"1",
