ACU	ACURA
ALF	ALFA ROMEO
AST	ASTON MARTIN
AUD	AUDI
AUS	AUSTIN-HEALEY
BEN	BENTLEY 
BMW	BMW 
BUI	BUICK 
CAD	CADILLAC 
CHE	CHEVROLET 
CHR	CHRYSLER 
DAW	DAEWOO
DOD	DODGE 
EAG	EAGLE
FER	FERRARI
FIA	FIAT 
FOR	FORD 
GEO	GEO
GMC	GMC 
HON	HONDA 
HUM	HUMMER
HYU	HYUNDAI
INF	INFINITI
INT	INTERNATIONAL HARVESTER
ISU	ISUZU 
JAG	JAGUAR 
JEE	JEEP 
KIA	KIA
LAM	LAMBOGHINI 
LAN	LAND ROVER
LEX	LEXUS 
LIN	LINCOLN
LOT	LOTUS 
MAS	MASERATI
MAY	MAYBACH
MAZ	MAZDA
MRB	MERCEDES-BENZ 
MEC	MERCURY 
MEK	MERKUR
MGA	MG
MIN	MINI
MIT	MITSUBISHI 
NIS	NISSAN 
OLD	OLDSMOBILE 
PLY	PLYMOUTH 
PON	PONTIAC 
POR	PORSCHE
ROL	ROLLS-ROYCE 
SAA	SAAB 
SAT	SATURN 
SCI	SCION
SMA	SMART
SRT	SRT
SUB	SUBARU 
SUZ	SUZUKI
TES	TESLA
TOY	TOYOTA 
VOK	VOLKSWAGEN 
VOV	VOLVO 
ZEN	ZENN
XXX	Unspecified Make/Model


































































































































































































































































































































































































































































































































































































































































































































































































































