"title","estimate","all consumer units","less than $5,000","$5,000 to $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $69,999","$70,000 and over"
"Number of consumer units (in thousands)                     ","N",126735.59,4786.97,4146.51,7290.94,8476.54,14767.57,12944.42,11405.8,18813.21,44103.62
"  Income before taxes                                       ","MEAN",66995.97,442.61,7497.77,12877.05,17667.97,25031.79,35013.7,44940.48,59840.78,130434.78
"    Meals as pay                                            ","MEAN",0.56,1.45,0.26,0.15,0.27,0.35,0.35,0.56,0.23,0.89
"    Rent as pay                                             ","MEAN",5.35,11.69,22.66,13.45,0.47,7.49,10.9,4.11,4.22,1.08
"    Income before taxes                                     ","MEAN",66990.07,429.47,7474.84,12863.45,17667.22,25023.95,35002.45,44935.81,59836.32,130432.81
"  Age of reference person                                   ","MEAN",50.01,44.74,48.31,53.16,56.56,53.38,50.69,48.98,48.7,48.46
"    People                                                  ","MEAN",2.47,1.67,1.74,1.74,1.82,2.13,2.33,2.58,2.62,2.93
"    Children under 18                                       ","MEAN",0.6,0.36,0.43,0.41,0.39,0.51,0.56,0.68,0.66,0.7
"    Adults 65 and older                                     ","MEAN",0.35,0.2,0.33,0.4,0.54,0.52,0.45,0.39,0.34,0.24
"    Earners                                                 ","MEAN",1.26,0.46,0.42,0.46,0.53,0.77,1.03,1.28,1.45,1.86
"    Vehicles (owned)                                        ","MEAN",1.66,0.8,0.66,0.82,1,1.21,1.42,1.62,1.77,2.31
"    Men                                                     ","MEAN",46.64,42.84,36.36,36.45,40.48,41.39,44.35,44.91,49.81,52.43
"    Women                                                   ","MEAN",53.36,57.16,63.64,63.55,59.52,58.61,55.65,55.09,50.19,47.57
"    Homeowner                                               ","MEAN",63.34,32.79,35.93,41.63,53.74,51.42,54.9,58.76,65.06,81.58
"      With mortgage                                         ","MEAN",37.41,13.93,11.61,11.51,17.54,16.88,23.63,30.3,39.33,62.43
