"title","estimate","all consumer units","less than $5,000","$5,000 to $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $69,999","$70,000 and over"
"Number of consumer units (in thousands)                     ","N",127005859.33,6115236.03,4979692.58,8242924.69,8242788.81,14916202.44,13122295.94,11085729.73,18035937.94,42265051.16
"  Income before taxes                                       ","MEAN",66893.55,2392.11,7996.91,13150.41,17569.82,25154.93,34980.69,45191.94,59642.97,136691.06
"    Meals as pay                                            ","MEAN",27.76,7.55,27.62,12.28,39.37,39.86,17.12,31.95,25.26,30.45
"    Rent as pay                                             ","MEAN",103.44,329.85,367.36,304.38,153.55,83.77,74.32,66.86,54.82,36.94
"    Income before taxes                                     ","MEAN",66762.36,2054.72,7601.92,12833.75,17376.89,25031.3,34889.25,45093.13,59562.89,136623.68
"  Income after taxes                                        ","MEAN",58409.47,2561.65,8406.31,13707.02,18379.99,26002.29,34689.75,43316.36,55089.69,113083.48
"    Meals as pay                                            ","MEAN",27.76,7.55,27.62,12.28,39.37,39.86,17.12,31.95,25.26,30.45
"    Rent as pay                                             ","MEAN",103.44,329.85,367.36,304.38,153.55,83.77,74.32,66.86,54.82,36.94
"    Income after taxes (new UCC Q20132)                     ","MEAN",58278.28,2224.25,8011.33,13390.36,18187.07,25878.67,34598.31,43217.55,55009.61,113016.1
"  Age of reference person                                   ","MEAN",50.3,45.61,45.97,54.86,56.64,53.7,52.03,49.27,49.14,48.4
"    People                                                  ","MEAN",2.47,1.64,1.79,1.64,1.79,2.14,2.35,2.52,2.64,3.03
"    Children under 18                                       ","MEAN",0.59,0.31,0.49,0.33,0.37,0.5,0.56,0.62,0.63,0.76
"    Adults 65 and older                                     ","MEAN",0.36,0.2,0.24,0.43,0.54,0.53,0.51,0.41,0.36,0.22
"    Earners                                                 ","MEAN",1.27,0.51,0.54,0.43,0.55,0.81,1.01,1.29,1.48,1.93
"    Vehicles                                                ","MEAN",1.86,0.83,0.78,0.85,1.14,1.41,1.61,1.83,2.12,2.6
"      Vehicles (owned)                                      ","MEAN",1.8,0.81,0.77,0.83,1.13,1.38,1.57,1.8,2.07,2.5
"      Vehicles (leased)                                     ","MEAN",0.05,0.02,0.01,0.01,0.01,0.04,0.04,0.03,0.05,0.1
"    Men                                                     ","MEAN",47.52,43.78,34.72,36.35,39.64,43.13,44.94,49.15,49.52,54.36
"    Women                                                   ","MEAN",52.48,56.22,65.28,63.65,60.36,56.87,55.06,50.85,50.48,45.64
"    Homeowner                                               ","MEAN",100,100,100,100,100,100,100,100,100,100
"      With mortgage                                         ","MEAN",36.52,11.72,11.01,12.44,15.57,17.93,26.22,32.01,41.03,60.9
"      Without mortgage                                      ","MEAN",26.15,21.62,19.21,28.88,34.93,33.32,30.57,27.01,26.2,21.24
"    Renter                                                  ","MEAN",37.33,66.66,69.78,58.68,49.5,48.74,43.21,40.99,32.77,17.85
"    Black or African-American                               ","MEAN",12.83,23.69,21.88,20.93,15.87,15.91,14.25,12.66,10.47,7.55
"    White, Asian, and all other races                       ","MEAN",87.17,76.31,78.12,79.07,84.13,84.09,85.75,87.34,89.53,92.45
"      White                                                 ","MEAN",80.91,69.68,72.73,72.42,80.19,78.5,80.77,81.72,83.63,84.8
"      Asian                                                 ","MEAN",4.43,4.85,3.67,4.1,2.38,3.57,2.65,3.44,4.2,6.14
"      All other races                                       ","MEAN",1.83,1.77,1.73,2.54,1.55,2.02,2.33,2.18,1.69,1.52
"    Hispanic or Latino                                      ","MEAN",12.82,12.7,16.69,12.52,12.79,16.33,15.16,16.05,14,9.13
"    Not Hispanic or Latino                                  ","MEAN",87.18,87.3,83.31,87.48,87.21,83.67,84.83,83.95,86,90.87
"    Elementary (1-8)                                        ","MEAN",3.12,5.43,6.42,7.53,3.39,4.18,3.33,3.13,2.62,1.27
"    High school (9-12)                                      ","MEAN",33.4,39.96,42.86,45.85,46.62,44.7,42.31,38.91,32.36,18.57
"    College                                                 ","MEAN",63.21,54.14,49.91,45.56,49.58,50.82,54.17,57.61,64.92,80.11
"    Never attended and other                                ","MEAN",0.27,0.47,0.8,1.07,0.41,0.31,0.19,0.35,0.1,0.05
"  At least one vehicle owned or leased                      ","MEAN",87.29,56.03,56.46,63.05,76.46,85.19,90.9,93.01,95.5,96.88
"  At least one vehicle owned                                ","MEAN",85.79,55.15,56.01,62.04,75.44,83.28,88.87,91.63,94.06,95.24
"  At least one vehicle leased                               ","MEAN",4.47,1.41,0.98,1.33,1.46,3.33,3.49,2.88,4.37,7.68
"Average annual expenditures                                 ","MEAN",53098.49,23420.31,20767.27,22698.13,27108.55,31960.06,37655.4,43476.34,51005.16,87144.29
"Average annual expenditures                                 ","SE",598.04,1187.64,629.51,735.96,535.67,522.79,736.44,656.69,669.51,864.88
"  Food                                                      ","MEAN",6758.62,3617.81,3314.44,3473.08,3939.2,4432.49,5194.14,5935.88,6485.87,10116.15
"  Food                                                      ","SE",89.34,231.67,195.58,174.8,152.27,167.84,187.38,241.52,184.42,147.28
"    Food at home                                            ","MEAN",3971.46,2390.48,2305.38,2470.21,2646.57,2951.47,3338.71,3688.43,3925.18,5427.17
"    Food at home                                            ","SE",56.6,191.37,175.02,143.33,116.28,129.86,133.78,165.99,132.24,100.58
"      Cereals and bakery products                           ","MEAN",518.96,305.52,298.36,354.32,377.2,385.39,443.95,485.79,502.58,699.65
"      Cereals and bakery products                           ","SE",9.25,25.02,23.98,23.14,20.12,15.97,21.95,27.86,15.83,17.7
"        Cereals and cereal products                         ","MEAN",175.99,114.93,112.97,133.44,133.18,132.25,153.11,164.3,163.54,233.5
"        Cereals and cereal products                         ","SE",3.79,9.56,10.82,11.31,11.13,7.69,10.34,10.15,8.14,7.15
"          Flour                                             ","MEAN",10.1,8.96,6.13,5.84,12.03,9.68,10.39,8.78,9.46,11.59
"          Flour                                             ","SE",0.54,3.04,1.66,1.64,2.99,1.74,2.15,1.74,1.4,1.01
