"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","LSDNUM","LSDNUM_","LSDCODE","LSDCODE_","MODELYR","MODELYR_","PRCBSNSZ","PRCB_NSZ","NUMPAY","NUMPAY_","PMTMONTH","PMTM_NTH","PAYEXPX","PAYEXPX_","PAYTIME","PAYTIME_","EMPLYEXP","EMPL_EXP","TRADEEXP","TRAD_EXP","DOWNEXP","DOWNEXP_","DNEMPEXP","DNEM_EXP","LSDENDMO","LSDE_DMO","QADPMT1X","QADP_T1X","QADPMT2X","QADP_T2X","QADPMT3X","QADP_T3X","QEXTRA1X","QEXT_A1X","QEXTRA2X","QEXT_A2X","QEXTRA3X","QEXT_A3X","QADDOWNX","QADD_WNX","QADFEEX","QADFEEX_","MKMDEL","MKMDEL_","LSDENDYR","LSDE_DYR","PMTYEAR","PMTYEAR_"
"20141",2647595,12,0,"5","01","D","105","D","2012","D",.,"A",39,"D","07","D",292,"D","3","D",.,"A",.,"A",2500,"D",.,"A",,"A",292,"D",292,"D",292,"D",.,"A",.,"A",.,"A",2500,"D",.,"A","JEEAI","D",,"A","2012","D"
"20141",2647775,35,0,"5","01","D","105","D","2013","D",.,"A",39,"D","06","D",224,"D","3","D",.,"A",6500,"D",.,"A",.,"A",,"A",224,"D",224,"D",224,"D",.,"A",.,"A",.,"A",.,"A",.,"A","VOKAW","D",,"A","2012","D"
"20141",2648015,15,0,"5","01","D","105","D","2010","D",.,"A",36,"D","04","F",173,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",173,"D",173,"D",173,"D",.,"A",.,"A",.,"A",.,"A",.,"A","KIAAD","D",,"A","2012","D"
"20141",2648015,16,0,"1","02","D","105","D","2008","D",.,"A",36,"D","11","D",420,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",.,"A",420,"D",420,"D",.,"A",.,"A",.,"A",.,"A",.,"A","FORBC","D",,"A","2013","D"
"20141",2648585,19,0,"5","01","D","105","D","2013","D",.,"A",24,"D","09","D",.,"C","3","D",.,"A",.,"C",.,"C",.,"A",,"A",313,"F",313,"F",313,"F",.,"A",.,"A",.,"A",.,"B",.,"A","NISAD","D",,"A","2012","D"
"20141",2648585,20,0,"5","02","D","105","D","2010","D",.,"A",39,"D","07","F",.,"C","3","D",.,"A",.,"A",.,"A",.,"A",,"A",200,"F",200,"F",200,"F",.,"A",.,"A",.,"A",.,"A",.,"A","NISAF","D",,"A","2010","D"
"20141",2648965,17,0,"5","01","D","105","D","2011","D",.,"A",36,"D","09","D",450,"D","3","D",.,"A",.,"A",2000,"D",.,"A","10","D",450,"D",.,"A",.,"A",50,"D",.,"A",.,"A",2000,"D",.,"A","TOYAO","D",,"A","2010","D"
"20141",2649965,28,0,"5","01","D","105","D","2013","D",.,"A",48,"D","01","D",339,"D","3","D",.,"A",4000,"D",24000,"D",.,"A",,"A",339,"D",339,"D",339,"D",.,"A",.,"A",.,"A",24000,"D",.,"A","HYUAE","D",,"A","2013","D"
"20141",2650445,12,0,"5","01","D","105","D","2012","D",.,"A",39,"D","09","D",316,"D","3","D",.,"A",.,"A",1000,"D",.,"A",,"A",316,"D",316,"D",316,"D",.,"A",.,"A",.,"A",1000,"D",.,"A","BUIAN","D",,"A","2012","D"
"20141",2650495,20,0,"5","01","D","105","D","2011","D",.,"A",36,"D","10","D",433,"D","3","D",.,"A",.,"A",1000,"D",.,"A",,"A",433,"D",433,"D",433,"D",.,"A",.,"A",.,"A",1000,"D",.,"A","TOYAC","D",,"A","2011","D"
