"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VEHICYC","VEHICYC_","VEHDISP","VEHDISP_","VDISPMO","VDISPMO_","SALEX","SALEX_","REIMBURX","REIM_URX","EXREIMBX","EXRE_MBX","LOANSTAT","LOAN_TAT","FINPAYMX","FINP_YMX","VEHICIC","VEHICIC_"
"20141",2647165,32,0,"2","100","D","6","D","10","D",.,"A",.,"A",.,"A","1","D",.,"A","03","D"
"20141",2647295,40,0,"2","100","D","2","D","10","D",.,"A",.,"A",.,"A","1","D",9000,"D","01","D"
"20141",2647575,20,0,"1","180","D","4","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","06","D"
"20141",2647805,28,0,"1","110","D","1","D","10","D",1500,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20141",2647805,29,0,"1","110","D","2","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20141",2647805,30,0,"1","200","D","2","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","05","D"
"20141",2648015,24,0,"2","110","D","2","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20141",2648455,84,0,"1","110","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20141",2648455,85,0,"1","110","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20141",2649535,97,0,"1","110","D","2","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20141",2649535,98,0,"1","110","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","04","D"
"20141",2649535,99,0,"1","110","D","1","D","10","D",20000,"D",.,"A",.,"A","2","D",.,"A","07","D"
"20141",2649745,22,0,"1","110","D","3","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20141",2650245,44,0,"1","100","D","6","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","06","D"
"20141",2650735,50,0,"2","110","D","2","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20141",2650735,51,0,"1","100","D","1","D","11","D",2000,"F",.,"A",.,"A","2","D",.,"A","04","D"
"20141",2651575,27,0,"1","160","D","3","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20141",2651575,28,0,"1","180","D","3","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20141",2651595,45,0,"1","110","D","2","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20141",2651895,23,0,"1","100","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20141",2652335,37,0,"1","100","D","5","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20141",2653205,44,0,"1","100","D","2","D","12","D",.,"A",.,"A",.,"A","1","D",.,"A","02","D"
"20141",2653285,39,0,"2","100","D","2","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20141",2653345,35,0,"2","110","D","2","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20141",2653475,60,0,"2","100","D","1","D","10","D",100,"D",.,"A",.,"A","2","D",.,"A","05","D"
"20141",2653785,32,0,"1","110","D","6","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20141",2653985,27,0,"2","100","D","1","D","10","D",1000,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20141",2654225,23,0,"1","110","D","3","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20141",2654925,10,0,"1","100","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20141",2656215,45,0,"2","100","D","1","D","10","D",3000,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20141",2656385,50,0,"1","110","D","2","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20141",2656725,32,0,"1","110","D","1","D","12","D",5000,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20141",2657345,45,0,"2","100","D","6","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20141",2658415,53,0,"2","100","D","6","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","07","D"
"20141",2660505,10,0,"1","110","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20141",2661165,46,0,"2","100","D","1","D","11","D",3000,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20141",2661355,36,0,"1","100","D","4","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20141",2661715,46,0,"1","110","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20141",2661865,28,0,"1","100","D","3","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20141",2662375,39,0,"1","110","D","4","D","11","D",.,"A",3500,"D",.,"A","2","D",.,"A","02","D"
"20141",2662445,37,0,"1","150","D","6","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","04","D"
"20141",2662715,30,0,"1","100","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20141",2663435,29,0,"1","100","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20141",2664485,22,0,"1","110","D","1","D","01","D",1,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20141",2664805,27,0,"1","100","D","1","D","01","D",1300,"D",.,"A",.,"A","2","D",.,"A","03","D"
"20141",2665925,31,0,"2","110","D","6","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20141",2667025,29,0,"1","100","D","1","D","01","D",15000,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20141",2667335,53,0,"1","100","D","3","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20141",2667515,32,0,"1","100","D","1","D","11","D",2000,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20141",2667615,13,0,"1","100","D","4","D","12","D",.,"A",1200,"D",.,"A","2","D",.,"A","02","D"
"20141",2667995,37,0,"1","100","D","2","D","01","D",.,"A",.,"A",.,"A","1","D",4200,"D","01","D"
"20141",2668665,34,0,"1","110","D","4","D","12","D",.,"A",7200,"F",.,"A",,"C",.,"A","02","D"
"20141",2668785,35,0,"1","100","D","2","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20141",2668835,40,0,"1","100","D","2","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20141",2669215,39,0,"1","110","D","1","D","01","D",100,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20141",2669425,27,0,"1","100","D","1","D","12","D",3900,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20141",2669855,35,0,"1","100","D","2","D","02","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20141",2669925,40,0,"2","200","D","6","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","05","D"
"20141",2669925,41,0,"2","100","D","6","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","06","D"
"20141",2669925,42,0,"2","110","D","6","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","07","D"
"20141",2670045,32,0,"1","100","D","6","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","04","D"
"20141",2670155,28,0,"1","100","D","4","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20141",2670285,34,0,"1","100","D","5","D","02","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20141",2670285,35,0,"1","100","D","1","D","02","D",800,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20141",2670735,23,0,"1","100","D","1","D","01","D",300,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20141",2670925,33,0,"1","100","D","3","D","02","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20141",2670995,40,0,"1","100","D","1","D","02","D",3000,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20141",2671965,15,0,"1","110","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20141",2671965,16,0,"1","120","D","1","D","12","D",3500,"D",.,"A",.,"A","2","D",.,"A","03","D"
"20141",2672045,12,0,"1","110","D","4","D","02","D",.,"A",1500,"D",.,"A","2","D",.,"A","01","D"
"20141",2672355,48,0,"2","100","D","1","D","12","D",300,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20141",2672415,18,0,"1","100","D","1","D","12","D",400,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20141",2673175,32,0,"1","100","D","2","D","01","D",.,"A",.,"A",.,"A","1","D",.,"A","01","D"
"20141",2673195,33,0,"1","100","D","3","D","02","D",.,"A",.,"A",.,"A","1","D",.,"A","01","D"
"20141",2674185,27,0,"1","100","D","1","D","12","D",1200,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20141",2674485,27,0,"1","110","D","4","D","01","D",.,"A",3000,"D",.,"A","2","D",.,"A","01","D"
"20141",2674585,33,0,"1","110","D","1","D","12","D",1000,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20141",2675005,40,0,"1","110","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20141",2675125,26,0,"1","100","D","6","D","02","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20141",2675135,37,0,"1","100","D","4","D","01","D",.,"A",10000,"D",.,"A","1","D",10000,"D","02","D"
"20141",2675595,17,0,"1","100","D","1","D","01","D",4500,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20141",2675625,11,0,"1","100","D","1","D","01","D",300,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20141",2675675,27,0,"1","100","D","1","D","01","D",2000,"D",.,"A",.,"A","2","D",.,"A","03","D"
"20141",2679275,32,0,"1","110","D","2","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20141",2679725,66,0,"1","100","D","4","D","01","D",.,"A",4500,"D",.,"A","2","D",.,"A","03","D"
"20141",2679755,25,0,"1","100","D","4","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20141",2679825,20,0,"1","110","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20141",2680364,32,0,"1","100","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20141",2681154,42,0,"1","110","D","2","D","11","D",.,"A",.,"A",.,"A","1","D",9000,"F","04","D"
"20141",2681204,22,0,"1","100","D","3","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20141",2681204,23,0,"1","150","D","3","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","04","D"
"20141",2681824,16,0,"1","100","D","1","D","10","D",500,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20141",2682064,47,0,"2","100","D","1","D","10","D",2000,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20141",2682154,46,0,"1","110","D","2","D","12","D",.,"A",.,"A",.,"A","1","D",.,"A","01","D"
"20141",2682154,47,0,"1","100","D","2","D","11","D",.,"A",.,"A",.,"A","1","D",.,"A","02","D"
"20141",2682294,41,0,"1","100","D","2","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20141",2682894,51,0,"1","100","D","3","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20141",2682944,32,0,"1","100","D","1","D","11","D",1500,"D",.,"A",.,"A","2","D",.,"A","03","D"
"20141",2683124,34,0,"1","110","D","3","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20141",2683294,9,0,"1","100","D","4","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20141",2685124,29,0,"1","100","D","1","D","11","D",800,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20141",2685424,19,0,"1","100","D","2","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20141",2685524,20,0,"1","100","D","2","D","12","D",.,"A",.,"A",.,"A","1","D",16000,"D","01","D"
"20141",2685684,35,0,"1","130","D","1","D","12","D",500,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20141",2685914,42,0,"1","100","D","1","D","12","D",500,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20141",2685944,38,0,"1","110","D","3","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20141",2685974,34,0,"2","110","D","1","D","10","D",1800,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20141",2685974,35,0,"1","110","D","1","D","12","D",800,"D",.,"A",.,"A","2","D",.,"A","06","D"
"20141",2686554,16,0,"1","100","D","2","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20141",2686824,60,0,"1","100","D","6","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
