"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","NUMYUPD","NUMYUPD_","TOTYUPDX","TOTY_PDX","TOTYUPDY","TOTY_PDY"
"20141",2647995,51,0,"1",1,"D",.,"H",,"A"
"20141",2647995,51,1,"1",.,"A",130,"E","100","D"
"20141",2647995,51,2,"1",.,"A",22,"E","110","D"
"20141",2647995,51,3,"1",.,"A",66,"E","120","D"
"20141",2647995,51,4,"1",.,"A",17,"E","140","D"
"20141",2647995,51,5,"1",.,"A",290,"E","150","D"
"20141",2647995,51,6,"1",.,"A",64,"E","160","D"
"20141",2647995,51,7,"1",.,"A",139,"E","170","D"
"20141",2647995,51,8,"1",.,"A",92,"E","190","D"
"20141",2649125,32,0,"1",1,"D",.,"H",,"A"
"20141",2649125,32,1,"1",.,"A",103,"E","100","D"
"20141",2649125,32,2,"1",.,"A",57,"E","110","D"
"20141",2649325,38,0,"1",1,"D",.,"H",,"A"
"20141",2649325,38,1,"1",.,"A",5,"E","200","D"
"20141",2649325,38,2,"1",.,"A",21,"E","210","D"
"20141",2649325,38,3,"1",.,"A",19,"E","220","D"
"20141",2651075,20,0,"1",1,"D",.,"H",,"A"
"20141",2651075,20,1,"1",.,"A",15,"E","120","D"
"20141",2651075,20,2,"1",.,"A",3,"E","140","D"
"20141",2651075,20,3,"1",.,"A",119,"E","150","D"
"20141",2651075,20,4,"1",.,"A",13,"E","190","D"
"20141",2652105,24,0,"1",3,"D",.,"H",,"A"
"20141",2652105,24,1,"1",.,"A",133,"E","120","D"
"20141",2652105,24,2,"1",.,"A",3,"E","140","D"
"20141",2652105,24,3,"1",.,"A",709,"E","150","D"
"20141",2652105,24,4,"1",.,"A",8,"E","160","D"
"20141",2652105,24,5,"1",.,"A",57,"E","170","D"
"20141",2652105,24,6,"1",.,"A",46,"E","180","D"
"20141",2652105,24,7,"1",.,"A",44,"E","190","D"
"20141",2652905,31,0,"1",1,"D",.,"H",,"A"
"20141",2652905,31,1,"1",.,"A",66,"E","100","D"
