"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","WHATPART","WHAT_ART","TRIPIDBC","TRIP_DBC","NUMSAME","NUMSAME_","EOTRIPMO","EOTR_PMO","NUMNIGHT","NUMN_GHT","FOODDEAL","FOOD_EAL","LODGDEAL","LODG_EAL","TRANDEAL","TRAN_EAL","ELSEDEAL","ELSE_EAL","CMLOCALY","CMLO_ALY","CMPLANEY","CMPL_NEY","CMTRAINY","CMTR_INY","CMBUSY","CMBUSY_","CMSHIPY","CMSHIPY_","RTCARY","RTCARY_","RTMOPEDY","RTMO_EDY","RTBOATY","RTBOATY_","RTCAMPY","RTCAMPY_","RTOTHERY","RTOT_ERY","PVCARY","PVCARY_","PVELSEY","PVELSEY_","PVTRANSY","PVTR_NSY","CMLOCALX","CMLO_ALX","CMPLANEX","CMPL_NEX","CMTRAINX","CMTR_INX","CMBUSX","CMBUSX_","CMSHIPX","CMSHIPX_","RTCARX","RTCARX_","RTMOPEDX","RTMO_EDX","RTBOATX","RTBOATX_","RTCAMPX","RTCAMPX_","RTOTHERX","RTOT_ERX","GASOILX","GASOILX_","TRPTOLLX","TRPT_LLX","PARKINGX","PARK_NGX","LDGCOSTX","LDGC_STX","TRPALCHX","TRPA_CHX","TRPALCGX","TRPA_CGX","TRPSPRTX","TRPS_RTX","TRPETRTX","TRPE_RTX","TRMISCX","TRMISCX_","TRPGFTCX","TRPG_TCX","QTRFLAX","QTRFLAX_","QTRGLAX","QTRGLAX_"
"20141",2647295,41,0,"1","1","D",1,"D",1,"D","12","D",3,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A","13","D",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",200,"D",.,"A",100,"D",250,"D",100,"D",.,"A",.,"A",.,"A",.,"A",250,"D",400,"D",.,"A"
"20141",2647355,28,0,"1","1","D",2,"D",1,"D","11","D",7,"D",,"A",,"A",,"A",,"A",,"A","02","D",,"A",,"A",,"A","06","D",,"A",,"A",,"A",,"A","13","D",,"A",,"A",.,"A",2000,"D",.,"A",.,"A",.,"A",400,"D",.,"A",.,"A",.,"A",.,"A",100,"D",.,"A",4,"D",4226,"T",400,"D",50,"D",.,"A",.,"A",.,"A",.,"A",2000,"D",3300,"D"
"20141",2647395,67,0,"1","1","D",3,"D",1,"D","11","D",2,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A","13","D",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",100,"D",.,"A",.,"A",176,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",75,"D",.,"A"
"20141",2647485,23,0,"1","1","D",3,"D",1,"D","10","D",3,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A","16","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",82,"D",.,"A",.,"A",465,"D",.,"A",.,"A",.,"A",350,"D",.,"A",.,"A",.,"A",.,"A"
"20141",2647485,24,0,"1","1","D",4,"D",1,"D","11","D",14,"D",,"A",,"A",,"A",,"A",,"A","02","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A","12","D",,"A",,"A",,"A",.,"A",10,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",448,"D",162,"D",.,"A",.,"A",2487,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",110,"D",566,"D"
"20141",2647585,27,0,"2","1","D",1,"D",1,"D","10","D",8,"D","1","D","1","D","1","D","2","D",,"A","02","D",,"A",,"A","05","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",67,"G",810,"G",77,"G",114,"G",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",480,"G",159,"G",.,"A",.,"A",.,"A",50,"D",.,"A",253,"G",.,"A"
"20141",2647625,58,0,"1","1","D",1,"D",1,"D","11","D",1,"D",,"A",,"A",,"A",,"A",,"A","02","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",500,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",150,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",100,"D",.,"A"
"20141",2647645,24,0,"1","1","D",1,"D",1,"D","10","D",3,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A","13","D",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",100,"D",.,"A",.,"A",90,"D",.,"A",.,"A",.,"A",.,"A",.,"A",200,"D",250,"D",.,"A"
"20141",2647645,25,0,"1","1","D",2,"D",1,"D","12","D",2,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A","13","D",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",56,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",80,"D",.,"A"
"20141",2647675,9,0,"1","2","D",2,"D",1,"D","12","D",5,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A","13","D",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",100,"D",12,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
