"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","QFCD3MCX","QFCD_MCX"
"20141",2647065,19,0,"1",.,"A"
"20141",2647085,20,0,"1",.,"A"
"20141",2647105,18,0,"1",75,"D"
"20141",2647115,20,0,"1",.,"A"
"20141",2647125,26,0,"1",.,"A"
"20141",2647135,26,0,"1",.,"A"
"20141",2647165,41,0,"1",.,"A"
"20141",2647205,59,0,"1",.,"A"
"20141",2647295,46,0,"1",.,"A"
"20141",2647355,34,0,"1",.,"A"
"20141",2647395,74,0,"1",.,"A"
"20141",2647435,37,0,"1",.,"A"
"20141",2647445,31,0,"1",.,"A"
"20141",2647475,25,0,"1",.,"A"
"20141",2647485,31,0,"1",.,"A"
"20141",2647505,28,0,"1",.,"A"
"20141",2647575,27,0,"1",.,"A"
"20141",2647585,29,0,"1",.,"A"
"20141",2647595,20,0,"1",.,"A"
"20141",2647625,66,0,"1",.,"A"
"20141",2647635,22,0,"1",.,"A"
"20141",2647645,30,0,"1",.,"A"
"20141",2647665,30,0,"1",.,"A"
"20141",2647675,12,0,"1",.,"A"
"20141",2647685,49,0,"1",.,"A"
"20141",2647705,14,0,"1",.,"A"
"20141",2647745,97,0,"1",.,"A"
"20141",2647755,16,0,"1",.,"A"
"20141",2647775,68,0,"1",.,"A"
"20141",2647805,40,0,"1",100,"D"
"20141",2647845,24,0,"1",.,"A"
"20141",2647865,8,0,"1",.,"A"
"20141",2647875,10,0,"1",.,"A"
"20141",2647895,38,0,"1",.,"A"
"20141",2647925,25,0,"1",.,"A"
"20141",2647935,21,0,"1",.,"A"
"20141",2647965,30,0,"1",.,"A"
"20141",2647975,15,0,"1",.,"A"
"20141",2647985,72,0,"1",.,"A"
"20141",2647995,57,0,"1",.,"A"
"20141",2648015,30,0,"1",.,"A"
"20141",2648035,35,0,"1",.,"A"
"20141",2648065,35,0,"1",.,"A"
"20141",2648075,66,0,"1",.,"A"
"20141",2648105,55,0,"1",.,"A"
"20141",2648135,5,0,"1",.,"A"
"20141",2648165,19,0,"1",.,"A"
"20141",2648215,23,0,"1",.,"A"
"20141",2648245,21,0,"1",.,"A"
"20141",2648255,22,0,"1",.,"A"
"20141",2648265,15,0,"1",.,"A"
"20141",2648275,28,0,"1",.,"A"
"20141",2648285,18,0,"1",.,"A"
"20141",2648325,35,0,"1",.,"A"
"20141",2648345,28,0,"1",.,"A"
"20141",2648385,24,0,"1",.,"A"
"20141",2648405,14,0,"1",.,"A"
"20141",2648435,17,0,"1",.,"A"
"20141",2648455,98,0,"1",.,"A"
"20141",2648465,19,0,"1",.,"A"
"20141",2648505,57,0,"1",.,"A"
"20141",2648525,62,0,"1",.,"A"
"20141",2648535,38,0,"1",.,"A"
"20141",2648575,17,0,"1",.,"A"
"20141",2648585,34,0,"1",.,"A"
"20141",2648605,72,0,"1",.,"A"
"20141",2648635,25,0,"1",.,"A"
"20141",2648665,22,0,"1",.,"A"
"20141",2648705,47,0,"1",.,"A"
"20141",2648735,28,0,"1",.,"A"
"20141",2648755,56,0,"1",.,"A"
"20141",2648785,39,0,"1",.,"A"
"20141",2648795,32,0,"1",.,"A"
"20141",2648845,12,0,"1",.,"A"
"20141",2648885,29,0,"1",.,"A"
"20141",2648925,21,0,"1",.,"A"
"20141",2648965,38,0,"1",.,"A"
"20141",2649025,29,0,"1",.,"A"
"20141",2649045,33,0,"1",.,"A"
"20141",2649075,29,0,"1",.,"A"
"20141",2649095,43,0,"1",.,"A"
"20141",2649105,48,0,"1",.,"A"
"20141",2649125,37,0,"1",.,"A"
"20141",2649155,61,0,"1",.,"A"
"20141",2649185,36,0,"1",.,"A"
"20141",2649205,81,0,"1",.,"A"
"20141",2649225,13,0,"1",.,"A"
"20141",2649235,56,0,"1",.,"A"
"20141",2649275,18,0,"1",.,"A"
"20141",2649315,70,0,"1",.,"A"
"20141",2649325,45,0,"1",.,"A"
"20141",2649355,23,0,"1",90,"D"
"20141",2649375,31,0,"1",.,"A"
"20141",2649395,37,0,"1",.,"A"
"20141",2649405,40,0,"1",.,"A"
"20141",2649445,40,0,"1",.,"A"
"20141",2649465,28,0,"1",.,"A"
"20141",2649475,36,0,"1",.,"A"
"20141",2649485,72,0,"1",.,"A"
"20141",2649515,25,0,"1",.,"A"
"20141",2649535,117,0,"1",.,"A"
"20141",2649585,37,0,"1",.,"A"
"20141",2649635,38,0,"1",.,"A"
"20141",2649645,22,0,"1",.,"A"
"20141",2649655,43,0,"1",.,"A"
"20141",2649665,31,0,"1",.,"A"
"20141",2649675,50,0,"1",.,"A"
"20141",2649695,17,0,"1",.,"A"
"20141",2649705,26,0,"1",.,"A"
"20141",2649725,51,0,"1",.,"A"
"20141",2649745,25,0,"1",.,"A"
"20141",2649775,29,0,"1",.,"A"
"20141",2649785,52,0,"1",.,"A"
"20141",2649805,18,0,"1",.,"A"
"20141",2649815,31,0,"1",.,"A"
"20141",2649885,29,0,"1",.,"A"
"20141",2649895,40,0,"1",.,"A"
"20141",2649915,30,0,"1",.,"A"
"20141",2649945,8,0,"1",.,"A"
"20141",2649955,19,0,"1",.,"A"
"20141",2649965,47,0,"1",.,"A"
"20141",2649985,42,0,"1",.,"A"
"20141",2649995,15,0,"1",.,"A"
"20141",2650035,50,0,"1",.,"A"
"20141",2650085,11,0,"1",.,"A"
"20141",2650095,38,0,"1",.,"A"
"20141",2650105,18,0,"1",.,"A"
"20141",2650115,38,0,"1",.,"A"
"20141",2650135,23,0,"1",.,"A"
"20141",2650155,35,0,"1",.,"A"
"20141",2650185,40,0,"1",.,"A"
"20141",2650195,89,0,"1",.,"A"
"20141",2650225,19,0,"1",.,"A"
"20141",2650245,53,0,"1",.,"A"
"20141",2650275,75,0,"1",.,"A"
"20141",2650285,33,0,"1",.,"A"
"20141",2650295,48,0,"1",.,"A"
"20141",2650315,35,0,"1",.,"A"
"20141",2650325,13,0,"1",.,"A"
"20141",2650335,40,0,"1",2,"D"
"20141",2650385,26,0,"1",.,"A"
"20141",2650445,21,0,"1",.,"A"
"20141",2650455,15,0,"1",.,"A"
"20141",2650475,16,0,"1",.,"A"
"20141",2650495,42,0,"1",.,"A"
"20141",2650515,37,0,"1",.,"A"
"20141",2650545,19,0,"1",.,"A"
"20141",2650575,63,0,"1",.,"A"
"20141",2650595,35,0,"1",.,"A"
"20141",2650605,28,0,"1",.,"A"
"20141",2650615,11,0,"1",.,"A"
"20141",2650635,28,0,"1",.,"A"
"20141",2650685,37,0,"1",.,"A"
"20141",2650715,30,0,"1",0,"D"
"20141",2650725,5,0,"1",.,"A"
"20141",2650735,61,0,"1",.,"A"
"20141",2650755,17,0,"1",.,"A"
"20141",2650815,9,0,"1",.,"A"
"20141",2650825,46,0,"1",.,"A"
"20141",2650865,43,0,"1",.,"A"
"20141",2650955,16,0,"1",.,"A"
"20141",2650965,10,0,"1",.,"A"
"20141",2651015,26,0,"1",.,"A"
"20141",2651025,53,0,"1",.,"A"
"20141",2651035,20,0,"1",.,"A"
"20141",2651045,32,0,"1",.,"A"
"20141",2651075,25,0,"1",.,"A"
"20141",2651105,17,0,"1",.,"A"
"20141",2651115,53,0,"1",.,"A"
"20141",2651165,46,0,"1",.,"A"
"20141",2651185,25,0,"1",.,"A"
"20141",2651195,36,0,"1",.,"A"
"20141",2651205,64,0,"1",.,"A"
"20141",2651225,46,0,"1",.,"A"
"20141",2651235,21,0,"1",.,"A"
"20141",2651245,48,0,"1",50,"D"
"20141",2651275,15,0,"1",.,"A"
"20141",2651315,53,0,"1",.,"A"
"20141",2651375,34,0,"1",.,"A"
"20141",2651385,78,0,"1",.,"A"
"20141",2651405,26,0,"1",.,"A"
"20141",2651425,34,0,"1",50,"D"
"20141",2651435,17,0,"1",.,"A"
"20141",2651445,44,0,"1",.,"A"
"20141",2651455,29,0,"1",.,"A"
"20141",2651475,26,0,"1",.,"A"
"20141",2651485,42,0,"1",.,"A"
"20141",2651505,34,0,"1",.,"A"
"20141",2651535,22,0,"1",.,"A"
"20141",2651555,45,0,"1",.,"A"
"20141",2651575,34,0,"1",.,"A"
"20141",2651585,41,0,"1",.,"A"
"20141",2651595,52,0,"1",.,"A"
"20141",2651615,38,0,"1",.,"A"
"20141",2651625,45,0,"1",.,"A"
"20141",2651635,24,0,"1",.,"A"
"20141",2651685,25,0,"1",.,"A"
"20141",2651715,17,0,"1",.,"A"
"20141",2651735,20,0,"1",.,"A"
"20141",2651745,25,0,"1",.,"A"
"20141",2651755,12,0,"1",.,"A"
"20141",2651815,23,0,"1",.,"A"
"20141",2651825,31,0,"1",.,"A"
"20141",2651835,25,0,"1",.,"A"
"20141",2651845,47,0,"1",.,"A"
"20141",2651875,32,0,"1",.,"A"
"20141",2651895,32,0,"1",.,"A"
"20141",2651915,27,0,"1",.,"A"
"20141",2651925,33,0,"1",.,"A"
"20141",2651945,9,0,"1",.,"A"
"20141",2651955,39,0,"1",.,"A"
"20141",2651965,38,0,"1",.,"A"
"20141",2651975,14,0,"1",.,"A"
"20141",2652045,17,0,"1",.,"A"
"20141",2652065,38,0,"1",.,"A"
"20141",2652105,30,0,"1",.,"A"
"20141",2652115,40,0,"1",.,"A"
"20141",2652125,38,0,"1",.,"A"
"20141",2652145,16,0,"1",.,"A"
"20141",2652155,24,0,"1",.,"A"
"20141",2652165,27,0,"1",.,"A"
"20141",2652195,58,0,"1",.,"A"
"20141",2652205,46,0,"1",.,"A"
"20141",2652255,41,0,"1",.,"A"
"20141",2652265,54,0,"1",.,"A"
"20141",2652335,51,0,"1",60,"D"
"20141",2652355,34,0,"1",.,"A"
"20141",2652375,17,0,"1",.,"A"
