"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VOPFLUDX","VOPF_UDX","VOPPARKX","VOPP_RKX","VOPTOWX","VOPTOWX_","VOPDOCKX","VOPD_CKX","VOPPLCYX","VOPP_CYX","TANKGASX","TANK_ASX","JGASOXQV","JGAS_XQV","JDIESXQV","JDIE_XQV","VOPCLUBX","VOPC_UBX","VOPTOLLX","VOPT_LLX","VOPOILX","VOPOILX_"
"20141",2647065,20,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20141",2647085,21,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",30,"D",.,"A",.,"A",.,"A",.,"A"
"20141",2647105,20,0,"1",15,"D",.,"A",.,"A",.,"A",.,"A",.,"A",1050,"D",.,"A",.,"A",.,"A",50,"D"
"20141",2647115,21,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",690,"D",.,"A",.,"A",.,"A",.,"A"
"20141",2647125,27,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",900,"D",.,"A",.,"A",.,"A",.,"A"
"20141",2647135,27,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",102,"D",.,"A",.,"A",.,"A",.,"A"
"20141",2647165,42,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",435,"D",.,"A",.,"A",15,"D",.,"A"
"20141",2647205,64,0,"1",.,"A",40,"D",.,"A",.,"A",.,"A",.,"A",840,"D",.,"A",115,"D",75,"D",17,"D"
"20141",2647295,47,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",600,"D",.,"A",.,"A",390,"D",.,"A"
"20141",2647355,36,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",1650,"D",.,"A",.,"A",40,"D",.,"A"
"20141",2647395,79,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",2550,"D",.,"A",.,"A",.,"A",.,"A"
"20141",2647435,38,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",1200,"D",.,"A",.,"A",.,"A",.,"A"
"20141",2647445,32,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",120,"D",.,"A",.,"A",.,"A",.,"A"
"20141",2647475,27,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",375,"D",.,"A",.,"A",.,"A",.,"A"
"20141",2647485,35,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",900,"D",.,"A",.,"A",.,"A",.,"A"
"20141",2647505,30,0,"1",2,"D",.,"A",.,"A",.,"A",.,"A",.,"A",900,"D",.,"A",35,"D",40,"D",.,"A"
"20141",2647575,28,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",300,"D",.,"A",.,"A",.,"A",.,"A"
