"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","JMKPURQV","JMKP_RQV","JNONFDQV","JNON_DQV","JOTHSTQV","JOTH_TQV","JDINEOQV","JDIN_OQV","JALOUTQV","JALO_TQV","JMLPAYQV","JMLP_YQV","JSCHMLQV","JSCH_LQV","JMKGRCQV","JMKG_CQV","JALHOMQV","JALH_MQV","CIGARETX","CIGA_ETX","JCIGARQV","JCIG_RQV","JOTBACQV","JOTB_CQV","OTHTBACX","OTHT_ACX"
"20141",2647065,21,0,"1",1040,"D",260,"D",130,"D",520,"D",.,"A",.,"A",.,"A",780,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20141",2647085,22,0,"1",650,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",650,"D",.,"A",10,"D",130,"D",.,"A",.,"A"
"20141",2647105,21,0,"1",1560,"D",442,"F",.,"A",390,"D",60,"D",.,"A",.,"A",1943,"F",90,"D",.,"A",.,"A",.,"A",.,"A"
"20141",2647115,22,0,"1",2600,"D",325,"D",.,"A",0,"D",.,"A",.,"A",.,"A",2275,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20141",2647125,28,0,"1",2600,"D",260,"D",.,"A",0,"D",.,"A",.,"A",.,"A",2340,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20141",2647135,28,0,"1",260,"D",0,"D",.,"A",650,"D",.,"A",.,"A",.,"A",260,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20141",2647165,43,0,"1",910,"D",65,"D",.,"A",780,"D",.,"A",.,"A",.,"A",845,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20141",2647205,65,0,"1",1300,"D",195,"D",130,"D",910,"D",30,"D",.,"A",.,"A",1105,"D",150,"D",.,"A",.,"A",.,"A",.,"A"
"20141",2647295,48,0,"1",910,"D",260,"D",.,"A",1040,"D",.,"A",.,"A",.,"A",650,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20141",2647355,37,0,"1",1430,"D",130,"D",.,"A",0,"D",0,"D",.,"A",.,"A",1300,"D",120,"D",.,"A",.,"A",.,"A",.,"A"
