"NEWID","TAX_UNIT","TAXYR_CY","TAXYR_PY","DEPCNT","FICAR_CY","FICAR_PY","FILESTAT","FRATE_CY","FRATE_PY","SOI_ST","SOI_ST_","SRATE_CY","SRATE_PY","T65CT_CY","T65C__CY","T65CT_PY","T65C__PY","WAGE_HD","WAGE_HD_","WAGE_SP","WAGE_SP_","OTHTXINC","OTHT_INC","TAXPENS","TAXPENS_","SOSSECB","SOSSECB_","NONTXINC","NONT_INC","RNTPAID","RNTPAID_","PROPTXPD","PROP_XPD","AMTDEDCT","AMTD_DCT","CHLDCARE","CHLD_ARE","DEPUND17","DEPU_D17","OTHDEDCT","OTHD_DCT","FTAXOWE","STAXOWE","FTAXO_PY","FTAXO_CY","STAXO_PY","STAXO_CY","FICA_PY","FICA_CY","FDAGI_PY","FDAGI_CY","STAGI_PY","STAGI_CY","CHDTX_PY","CHDTX_CY","ADDTX_PY","ADDTX_CY","DPCAR_PY","DPCAR_CY","EITCR_PY","EITCR_CY","AMTIN_PY","AMTIN_CY","AMTOW_PY","AMTOW_CY","FRGTX_PY","FRGTX_CY","FTXBC_PY","FTXBC_CY","SSTDD_PY","SSTDD_CY","SITDD_PY","SITDD_CY","SPRCR_PY","SPRCR_CY","SDCAR_PY","SDCAR_CY","SEITC_PY","SEITC_CY","DIVINC"
2647065,1,"2013","2012",3,0.153,0.133,"3",-0.45,0,"22","D",-0.0675,0,0,"D",0,"D",13222,"D",0,"D",0,"D",0,"D",0,"D",4656,"D",5220,"D",0,"D",4,"D",0,"D",1,"D",0,"D",-6891,-884,-6891,-6949.9,-883.65,-892.49,1758.53,2022.97,13222,13222,13222.01,13222.01,0,0,1000,1000,0,0,5891,5949.9,13222,13222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,883.65,892.49,0
2647085,1,"2013","2012",0,0,0,"1",-0.0765,-0.0765,"36","D",0,0,0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",980,"D",0,"D",0,"D",0,"D",1636,"D",0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2647105,1,"2013","2012",2,0.153,0.133,"2",0.3106,0.3106,"21","D",0.1528,0.1528,0,"D",0,"D",31615,"D",10611,"D",0,"D",0,"D",0,"D",0,"D",6300,"D",0,"D",0,"D",0,"D",2,"D",40,"D",-1527,578,-1526.98,-1853.03,578.44,450.42,5616.06,6460.58,42226,42226,41026.01,41026.01,1512.6,1442.6,487.4,557.4,0,0,1039.58,1295.63,42226,42226,0,0,1512.6,1442.6,1512.6,1442.6,4000,4000,0,0,0,0,0,0,519.79,647.81,0
2647115,1,"2013","2012",1,0.153,0.133,"2",0.15,0.15,"10","D",0,0,0,"D",0,"D",22414,"D",23847,"D",0,"D",0,"D",0,"D",0,"D",0,"D",420,"D",0,"D",0,"D",0,"D",5180,"D",2574,0,2574.15,2461.65,0,0,6152.71,7077.93,46261,46261,0,0,0,0,0,0,0,0,0,0,46261,46261,0,0,2574.15,2461.65,2574.15,2461.65,0,0,0,0,0,0,0,0,0,0,0
2647115,2,"2013","2012",3,0.153,0.133,"3",-0.6,-0.6,"10","D",0,0,0,"D",0,"D",11976,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",2,"D",0,"D",-6736,0,-6735.6,-6735.6,0,0,1592.81,1832.33,11976,11976,0,0,0,0,1346.4,1346.4,0,0,5389.2,5389.2,11976,11976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2647125,1,"2013","2012",3,0.153,0.133,"2",0.1425,0.1425,"14","D",0.05,0.05,0,"D",0,"D",30881,"D",30424,"D",0,"D",0,"D",0,"D",0,"D",0,"D",6100,"D",0,"D",0,"D",3,"D",12960,"D",-720,2248,-720.41,-816.04,2247.75,2235.25,8153.57,9379.66,61305,61305,61305.01,61305.01,2279.59,2183.96,720.41,816.04,0,0,0,0,48345,48345,0,0,2279.59,2183.96,2279.59,2183.96,0,0,0,0,305,305,0,0,0,0,0
2647135,1,"2013","2012",0,0,0,"1",0,0,"39","D",0,0,1,"D",1,"D",0,"D",0,"D",0,"D",738,"D",14856,"D",0,"D",0,"D",2200,"D",1559,"D",0,"D",0,"D",5681,"D",0,0,0,0,0,0,0,0,738,738,0.01,0.01,0,0,0,0,0,0,0,0,738,738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2647165,1,"2013","2012",0,0,0,"1",0,0,"44","D",0,0,1,"D",1,"D",0,"D",0,"D",0,"D",0,"D",3903,"D",0,"D",0,"D",2000,"D",0,"D",0,"D",0,"D",2676,"D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2647205,1,"2013","2012",0,0.153,0.133,"2",0.1486,0.1487,"05","D",0.04,0.04,0,"D",0,"D",25000,"D",0,"D",33472,"D",0,"D",0,"D",0,"D",0,"D",4000,"D",4806,"D",0,"D",0,"D",4176,"D",4687,755,4686.78,4633.67,755.46,736.91,3325,3825,58472,58472,58472.01,58472.01,0,0,0,0,0,0,0,0,54296,54296,0,0,4686.78,4633.67,4686.78,4633.67,7682,7812,12982,12982,0,0,0,0,0,0,0
2647295,1,"2013","2012",0,0.029,0.029,"1",0.2785,0.2785,"44","D",0,0,0,"D",0,"D",176697,"D",0,"D",14000,"D",0,"D",0,"D",0,"D",0,"D",6000,"D",564,"D",0,"D",0,"D",3000,"D",42669,0,42669.47,42472.1,0,0,16574.61,19223.01,190697,190697,0,0,0,0,0,0,0,0,0,0,187697,187697,0,0,42669.47,42472.1,42669.47,42472.1,0,0,0,0,0,0,0,0,0,0,0
