"NEWID","TAX_UNIT","TAXYR_CY","TAXYR_PY","DEPCNT","FICAR_CY","FICAR_PY","FILESTAT","FRATE_CY","FRATE_PY","SOI_ST","SOI_ST_","SRATE_CY","SRATE_PY","T65CT_CY","T65C__CY","T65CT_PY","T65C__PY","WAGE_HD","WAGE_HD_","WAGE_SP","WAGE_SP_","OTHTXINC","OTHT_INC","TAXPENS","TAXPENS_","SOSSECB","SOSSECB_","NONTXINC","NONT_INC","RNTPAID","RNTPAID_","PROPTXPD","PROP_XPD","AMTDEDCT","AMTD_DCT","CHLDCARE","CHLD_ARE","DEPUND17","DEPU_D17","OTHDEDCT","OTHD_DCT","FTAXOWE","STAXOWE","FTAXO_PY","FTAXO_CY","STAXO_PY","STAXO_CY","FICA_PY","FICA_CY","FDAGI_PY","FDAGI_CY","STAGI_PY","STAGI_CY","CHDTX_PY","CHDTX_CY","ADDTX_PY","ADDTX_CY","DPCAR_PY","DPCAR_CY","EITCR_PY","EITCR_CY","AMTIN_PY","AMTIN_CY","AMTOW_PY","AMTOW_CY","FRGTX_PY","FRGTX_CY","FTXBC_PY","FTXBC_CY","SSTDD_PY","SSTDD_CY","SITDD_PY","SITDD_CY","SPRCR_PY","SPRCR_CY","SDCAR_PY","SDCAR_CY","SEITC_PY","SEITC_CY","DIVINC"
2747205,1,"2013","2012",0,0.153,0.133,"2",0,0,"10","D",0,0,2,"D",2,"D",14000,"D",0,"D",131,"D",0,"D",29230,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",1648,"D",0,0,0,0,0,0,1862,2142,14131,14131,0,0,0,0,0,0,0,0,0,0,14131,14131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2747235,1,"2013","2012",2,0.153,0.133,"3",-0.4,-0.4,"14","D",-0.04,-0.03,0,"D",0,"D",2000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",7200,"D",0,"D",0,"D",0,"D",2,"D",0,"D",-800,-75,-800,-800,-60,-80,266,306,2000,2000,2000.01,2000.01,0,0,0,0,0,0,800,800,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,80,0
2747255,1,"2013","2012",1,0.153,0.133,"3",0,0,"05","D",0,0,0,"D",0,"D",10000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",19800,"D",0,"D",0,"D",0,"D",0,"D",0,"D",-3230,0,-3169,-3250,0,0,1330,1530,10000,10000,10000.01,10000.01,0,0,0,0,0,0,3169,3250,10000,10000,0,0,0,0,0,0,7682,7812,0,0,0,0,0,0,0,0,0
2747255,2,"2013","2012",0,0.153,0.133,"1",0.25,0.25,"05","D",0.093,0.093,0,"D",0,"D",78188,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",13017,4377,13139.5,12975.75,4413.5,4364.7,10399,11962.76,78188,78188,78188.01,78188.01,0,0,0,0,0,0,0,0,78188,78188,0,0,13139.5,12975.75,13139.5,12975.75,3841,3906,0,0,0,0,0,0,0,0,0
2747265,1,"2013","2012",0,0,0,"1",0,0,"43","D",0,0,1,"D",1,"D",0,"D",0,"D",0,"D",0,"D",10271,"D",0,"D",2544,"D",0,"D",125,"D",0,"D",0,"D",0,"D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2747275,1,"2013","2012",1,0.153,0.133,"3",0.3098,0.3098,"05","D",0,0,0,"D",0,"D",32000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",2000,"D",0,"D",0,"D",0,"D",1632,"D",771,0,947.02,712.31,0,0,4256,4896,32000,32000,32000.01,32000.01,0,0,0,0,0,0,787.98,937.69,32000,32000,0,0,1735,1650,1735,1650,7682,7812,3632,3632,0,0,0,0,0,0,0
2747355,1,"2013","2012",2,0.153,0.133,"2",0.15,0.25,"47","D",0.0575,0.0575,0,"D",0,"D",98960,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",1000,"D",120,"D",0,"D",2,"D",2892,"D",7842,4874,8025,7781.5,4873.8,4873.8,13161.68,15140.88,98960,98960,98960.01,98960.01,2000,2000,0,0,0,0,0,0,98960,98960,0,0,10025,9781.5,10025,9781.5,6000,6000,0,0,0,0,0,0,0,0,0
2747385,1,"2013","2012",0,0,0,"1",0,0,"18","D",0,0,1,"D",1,"D",0,"D",0,"D",0,"D",0,"D",21899,"D",0,"D",0,"D",0,"D",163,"D",0,"D",0,"D",240,"D",0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2290,2360,403,403,0,0,0,0,0,0,0
2747395,1,"2013","2012",0,0,0,"1",0.225,0.225,"0","T",0,0,1,"D",1,"D",0,"D",0,"D",22626,"D",2160,"D",15191,"D",0,"D",0,"D",630,"D",13,"D",0,"D",0,"D",260,"D",2114,0,2156.51,2100.26,0,0,0,0,28476.75,28476.75,0,0,0,0,0,0,0,0,0,0,28476.75,28476.75,0,0,2156.51,2100.26,2156.51,2100.26,0,0,0,0,0,0,0,0,0,0,0
2747425,1,"2013","2012",0,0.153,0.133,"2",0.15,0.15,"39","D",0.0307,0.0307,0,"D",0,"D",12442,"D",44383,"D",180,"D",0,"D",0,"D",0,"D",0,"D",4000,"D",68,"D",0,"D",0,"D",380,"D",4683,1750,4755.75,4658.25,1750.05,1750.05,7557.73,8694.22,57005,57005,57005.01,57005.01,0,0,0,0,0,0,0,0,57005,57005,0,0,4755.75,4658.25,4755.75,4658.25,0,0,0,0,0,0,0,0,0,0,0
