"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOG","PROP0NOG","OWNYG","OWNYG_","NEWMRTG","NEWMRTG_","ORGMRTG","ORGMRTG_","QMRTTRMG","QMRT_RMG","MRTPMTG","MRTPMTG_","PAYPRTXG","PAYP_TXG","PAYPRING","PAYP_ING","PAYMRING","PAYM_ING","PAYOTHRG","PAYO_HRG","QESCROWG","QESC_OWG","QPRINM1G","QPRI_M1G","QPRINM2G","QPRI_M2G","QPRINM3G","QPRI_M3G","QADINT1G","QADI_T1G","QADINT2G","QADI_T2G","QADINT3G","QADI_T3G","QRFINDTG","QRFI_DTG","FRSTPYMG","FRST_YMG","FRSTPYRG","FRST_YRG","FIXDRTEG","FIXD_TEG","QNEWDATG","QNEW_ATG","QBLNCM1G","QBLN_M1G","QBLNCM2G","QBLN_M2G","QBLNCM3G","QBLN_M3G","LOAN_NOG","LOAN0NOG","VARRTEG","VARRTEG_","INTONLYG","INTO_LYG","OTHRTEG","OTHRTEG_","PAYMT1G","PAYMT1G_","PAYMT2G","PAYMT2G_","PAYMT3G","PAYMT3G_","PAYPRNPG","PAYP_NPG","PAYINTG","PAYINTG_"
"20141",2647625,42,0,"5","01","D","100","D",0.045,"D",46315,"D",10,"D",480,"D",,"A",,"A",,"A",,"A",0,"D",406,"D",407,"D",409,"D",74,"D",73,"D",71,"D",,"A","07","D","2007","D","1","D",,"A",19842,"D",19436,"D",19029,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20141",2649205,59,0,"5","01","D","100","D",0.075,"D",50000,"D",15,"D",563,"D",,"B",,"B",,"B",,"B",99,"D",169,"D",171,"D",172,"D",295,"D",293,"D",292,"D",,"A","04","D","2012","D","1","D",,"A",47123,"D",46954,"D",46783,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20141",2654025,35,0,"5","01","D","100","D",0.07,"D",15151,"D",5,"D",300,"D",,"A",,"A",,"A",,"A",0,"D",212,"D",213,"D",214,"D",88,"D",87,"D",86,"D",,"A","10","D","2013","D","1","D",,"A",15151,"D",14939,"D",14727,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20141",2655105,25,0,"5","01","D","100","D",0.0859,"F",50000,"F",15,"F",670,"F",,"B",,"B",,"B",,"B",175,"F",244,"F",246,"F",248,"F",251,"F",249,"F",247,"F",,"A","01","F","2007","F","1","F",,"A",35024,"F",34779,"F",34533,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20141",2656025,32,0,"5","01","D","100","D",0.045,"D",15000,"D",6,"D",350,"D",,"B",,"B",,"B",,"B",112,"D",222,"D",222,"D",223,"D",16,"D",16,"D",15,"D",,"A","05","D","2009","D","1","D",,"A",4365,"D",4144,"D",3921,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20141",2656385,41,0,"5","01","D","100","D",0.06,"D",29274,"D",10,"D",325,"D",,"A",,"A",,"A",,"A",0,"D",265,"D",266,"D",268,"D",60,"D",59,"D",57,"D",,"A","03","D","2007","D","1","D",,"A",12021,"D",11756,"D",11490,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20141",2661575,23,0,"5","01","D","100","D",0.0687,"D",30000,"D",30,"D",489,"D",,"A",,"A",,"A",,"A",.,"B",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A","05","D","2014","D","1","D",,"A",.,"A",.,"A",.,"A","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20141",2664175,14,0,"5","01","D","100","D",0.0859,"F",240559,"V",10,"F",2729,"V",,"A",,"A",,"A",,"A",0,"F",347,"F",350,"F",352,"F",178,"F",175,"F",173,"F",,"A","10","F","2008","F","2","F",,"A",181832,"V",181076,"V",178698,"V","01","D",,"A",,"A",,"A",525,"F",525,"F",525,"F","1","D","2","D"
"20141",2664545,26,0,"5","01","D","100","D",0.048,"D",240559,"T",15,"D",1561,"D",,"A",,"A",,"A",,"A",0,"D",0,"D",0,"D",0,"D",1377,"D",1377,"D",1377,"D",,"A","07","D","2012","D","2","D",,"A",181832,"T",181076,"T",178698,"T","01","D","1","D",,"A",,"A",1452,"D",1472,"D",1377,"D",,"A","2","D"
"20141",2665925,20,0,"5","01","D","100","D",0.045,"D",30000,"D",15,"D",444,"D",,"B",,"B",,"B",,"B",215,"D",119,"D",120,"D",120,"D",110,"D",109,"D",109,"D",,"A","05","D","2013","D","1","D",,"A",29294,"D",29175,"D",29056,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
