"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOF","PROP0NOF","OWNYF","OWNYF_","NEWMRRT","NEWMRRT_","ORGMRTX","ORGMRTX_","QMRTTERM","QMRT_ERM","MRTPMTX","MRTPMTX_","PAYPROTX","PAYP_OTX","PAYPROIN","PAYP_OIN","PAYMORIN","PAYM_RIN","PAYOTHER","PAYO_HER","QESCROWX","QESC_OWX","QPRINM1X","QPRI_M1X","QPRINM2X","QPRI_M2X","QPRINM3X","QPRI_M3X","QADINT1X","QADI_T1X","QADINT2X","QADI_T2X","QADINT3X","QADI_T3X","QRFINDAT","QRFI_DAT","FRSTPYMO","FRST_YMO","FRSTPYYR","FRST_YYR","FIXEDRTE","FIXE_RTE","QNEWDATE","QNEW_ATE","QBLNCM1X","QBLN_M1X","QBLNCM2X","QBLN_M2X","QBLNCM3X","QBLN_M3X","LOAN_NOF","LOAN0NOF","VARRTE","VARRTE_","INTONLY","INTONLY_","OTHRTE","OTHRTE_","PAYMT1X","PAYMT1X_","PAYMT2X","PAYMT2X_","PAYMT3X","PAYMT3X_","PAYPRINI","PAYP_INI","PAYINT","PAYINT_"
"20141",2647085,24,0,"5","01","D","100","D",0.06,"D",35885,"D",38,"D",419,"D","3","D","4","D",,"A",,"A",219,"D",64,"D",65,"D",65,"D",136,"D",135,"D",135,"D","012014","D","09","D","1994","D","1","D",,"A",27106,"D",27041,"D",26976,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20141",2647115,12,0,"5","01","D","100","D",0.065,"F",86000,"F",30,"F",873,"F","3","F","4","F","5","F",,"A",329,"F",112,"F",112,"F",113,"F",432,"F",432,"F",431,"F",,"A","04","F","2008","F","1","F",,"A",79818,"F",79707,"F",79594,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20141",2647125,14,0,"5","01","D","100","D",0.0784,"D",166000,"D",30,"D",1480,"D","3","D","4","D",,"A",,"A",280,"D",119,"D",120,"D",121,"D",1081,"D",1080,"D",1079,"D",,"A","05","D","2013","D","1","D",,"A",165415,"D",165296,"D",165176,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20141",2647165,24,0,"5","01","D","100","D",0.0425,"D",74573,"D",15,"D",786,"D","3","D","4","D",,"A",,"A",225,"D",503,"D",505,"D",506,"D",58,"D",56,"D",55,"D",,"A","05","D","2001","D","1","D",,"A",16442,"D",15939,"D",15435,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20141",2647205,33,0,"5","01","D","100","D",0.0525,"D",150000,"D",15,"D",1400,"D",,"B",,"B",,"B",,"B",194,"D",904,"D",908,"D",912,"D",302,"D",298,"D",294,"D",,"A","04","D","2004","D","1","D",,"A",68967,"D",68063,"D",67155,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20141",2647295,31,0,"5","01","D","100","D",0.0575,"D",160000,"D",30,"D",1572,"D","3","D","4","D",,"A",,"A",638,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A","10","D","2003","D","2","D",,"A",132992,"D",132696,"D",132398,"D","01","D","1","D",,"A",,"A",2380,"D",2380,"D",2380,"D","1","D","2","D"
"20141",2647355,20,0,"5","01","D","100","D",0.0784,"D",210000,"D",30,"D",2500,"D","3","D","4","D",,"A",,"A",982,"D",649,"D",653,"D",657,"D",869,"D",865,"D",861,"D",,"A","09","D","1994","D","1","D",,"A",133066,"D",132417,"D",131764,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20141",2647485,17,0,"5","01","D","100","D",0.0438,"D",240000,"D",30,"D",1284,"D",,"B",,"B",,"B",,"B",85,"D",353,"D",354,"D",355,"D",846,"D",845,"D",844,"D",,"A","10","D","2011","D","1","D",,"A",231914,"D",231561,"D",231207,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20141",2647505,16,0,"5","01","D","100","D",0.126,"F",50000,"F",40,"F",550,"F","3","F","4","F",,"A",,"A",21,"F",191,"F",193,"F",195,"F",338,"F",336,"F",334,"F",,"A","02","F","1983","F","1","F",,"A",32213,"F",32022,"F",31829,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20141",2647645,15,0,"5","01","D","100","D",0.0583,"D",153500,"D",30,"D",1484,"D","3","D","4","D",,"A",,"A",580,"D",386,"D",388,"D",390,"D",518,"D",516,"D",514,"D",,"A","06","D","1998","D","1","D",,"A",106614,"D",106228,"D",105841,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20141",2647745,65,0,"5","01","D","100","D",0.0784,"D",187334,"D",15,"D",1997,"D","3","D","4","D","5","D",,"A",224,"D",630,"D",634,"D",638,"D",1143,"D",1139,"D",1135,"D",,"A","01","D","2012","D","1","D",,"A",175018,"D",174388,"D",173755,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20141",2647845,13,0,"5","01","D","300","D",0.0425,"D",127000,"D",30,"D",800,"D","3","D","4","D","5","D",,"A",175,"D",210,"D",211,"D",211,"D",415,"D",414,"D",414,"D",,"A","07","D","2009","D","1","D",,"A",117225,"D",117016,"D",116805,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20141",2647895,23,0,"5","01","D","100","D",0.05,"D",186000,"D",30,"D",1254,"D","3","D","4","D","5","D",,"A",256,"D",394,"D",396,"D",397,"D",604,"D",602,"D",601,"D",,"A","05","D","2002","D","1","D",,"A",144916,"D",144522,"D",144126,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20141",2647925,11,0,"5","01","D","100","D",0.0784,"F",88500,"F",20,"F",1033,"F","3","F","4","F",,"A",,"A",302,"F",419,"F",422,"F",425,"F",312,"F",309,"F",306,"F",,"A","11","F","2000","F","1","F",,"A",47715,"F",47295,"F",46873,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20141",2647975,5,0,"5","01","D","100","D",0.0784,"D",37363,"D",30,"D",425,"D","3","D","4","D","5","D",,"A",155,"D",52,"D",53,"D",53,"D",218,"D",217,"D",217,"D",,"A","10","D","2004","D","1","D",,"A",33319,"D",33266,"D",33214,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20141",2647985,44,0,"5","01","D","100","D",0.0784,"D",152081,"D",30,"D",1099,"D",,"A",,"A",,"A",,"A",0,"D",107,"D",108,"D",109,"D",992,"D",991,"D",990,"D",,"A","07","D","2013","D","1","D",,"A",151763,"D",151655,"D",151547,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20141",2647985,45,0,"5","02","D","300","D",0.07,"D",150308,"D",30,"D",1000,"D",,"A",,"A",,"A",,"A",0,"D",413,"D",415,"D",418,"D",587,"D",585,"D",582,"D",,"A","06","D","1996","D","1","D",,"A",100615,"D",100202,"D",99786,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
