"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOD","PROP0NOD","OWNYD","OWNYD_","DISPMTHD","DISP_THD","DISPX","DISPX_","DISPEXPX","DISP_XPX","DISPMO","DISPMO_","DISPYR","DISPYR_"
"20141",2664805,17,0,"1","02","D","400","D","1","D",.,"A",.,"A","11","D","2013","D"
"20141",2673335,28,0,"1","04","D","400","D",,"C",.,"A",.,"A","01","D","2014","D"
"20141",2677195,37,0,"1","02","D","400","D","1","D",553333,"T",42000,"D","12","D","2013","D"
"20141",2687494,44,0,"1","03","D","200","D","1","D",1394750,"T",80000,"D","10","D","2013","D"
"20141",2692734,23,0,"1","08","D","400","D","1","D",25000,"D",0,"D","12","D","2013","D"
"20141",2696954,23,0,"1","02","D","400","D","1","D",48000,"F",0,"D","11","D","2013","D"
"20141",2711654,35,0,"1","02","D","300","D","2","D",.,"A",.,"A","02","D","2014","D"
"20141",2724683,20,0,"1","02","D","300","D","1","D",.,"A",.,"A","11","D","2013","D"
"20141",2745903,18,0,"1","02","D","300","D","3","D",.,"A",.,"A","02","D","2013","D"
"20141",2746023,22,0,"1","02","D","300","D","1","D",20000,"D",1500,"D","01","D","2014","D"
"20141",2760922,10,0,"1","01","D","300","D","3","D",.,"A",.,"A","12","D","2013","D"
"20141",2766633,37,0,"2","02","D","200","D","1","D",171000,"D",15000,"D","11","D","2013","D"
"20141",2772192,33,0,"1","01","D","200","D","1","D",317000,"D",19000,"D","12","D","2013","D"
"20141",2779402,17,0,"1","02","D","300","D","3","D",.,"A",.,"A","01","D","2014","D"
"20141",2788744,7,0,"1","02","D","200","D","1","D",1394750,"V",80000,"F","11","D","2013","D"
"20142",2700535,52,0,"1","03","D","300","D","1","D",5000,"D",1500,"D","04","D","2014","D"
"20142",2707725,18,0,"1","02","D","300","D","2","D",.,"A",.,"A","03","D","2014","D"
"20142",2716384,21,0,"1","01","D","300","D","2","D",.,"A",.,"A","02","D","2013","D"
"20142",2722744,25,0,"1","02","D","300","D","1","D",473000,"V",2500,"F","03","D","2014","D"
"20142",2724274,18,0,"1","02","D","300","D","3","D",.,"A",.,"A","02","D","2013","D"
"20142",2730624,23,0,"1","02","D","200","D","1","D",137000,"D",13700,"F","02","D","2014","D"
"20142",2746224,16,0,"1","02","D","300","D","1","D",107500,"D",1500,"F","04","D","2014","D"
"20142",2759833,19,0,"2","01","D","300","D","3","D",.,"A",.,"A","02","D","2014","D"
"20142",2761703,31,0,"1","02","D","400","D","3","D",.,"A",.,"A","04","D","2014","D"
"20142",2770963,16,0,"1","01","D","200","D","1","D",1394750,"T",0,"D","03","D","2014","D"
"20142",2773713,36,0,"1","02","D","200","D","3","D",.,"A",.,"A","04","D","2014","D"
"20142",2774463,61,0,"1","02","D","300","D","1","D",5000,"F",0,"D","03","D","2014","D"
"20142",2785682,58,0,"1","02","D","300","D","3","D",.,"A",.,"A","02","D","2014","D"
"20142",2787382,40,0,"1","03","D","300","D","1","D",8000,"D",3000,"D","01","D","2014","D"
"20142",2796195,38,0,"1","03","D","200","D","1","D",200000,"D",70,"D","02","D","2014","D"
"20142",2798072,19,0,"1","02","D","300","D","1","D",473000,"T",2500,"D","03","D","2014","D"
"20142",2799742,15,0,"1","02","D","200","D","1","D",.,"A",.,"A","02","D","2014","D"
"20142",2799742,16,0,"1","03","D","200","D","1","D",.,"A",.,"A","02","D","2014","D"
"20142",2799742,17,0,"1","04","D","200","D","1","D",.,"A",.,"A","03","D","2014","D"
"20142",2807552,31,0,"1","02","D","300","D","1","D",8000,"D",0,"D","04","D","2014","D"
"20142",2814202,29,0,"1","02","D","200","D","3","D",.,"A",.,"A","04","D","2014","D"
"20142",2839864,18,0,"1","02","D","200","D","1","D",149900,"D",13700,"D","04","D","2014","D"
"20143",2722635,23,0,"1","02","D","300","D","1","D",473000,"V",19500,"F","04","D","2014","D"
