"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOH","PROP0NOH","OWNYH","OWNYH_","PAIDLOAN","PAID_OAN","PRIMPLUS","PRIM_LUS","JINTPDX","JINTPDX_","JLCPRINX","JLCP_INX","LOAN_NOH","LOAN0NOH","TOTOWED","TOTOWED_"
"20141",2647205,34,0,"5","01","D","100","D","1","D",0.0475,"D",784,"D",716,"D","01","D",66000,"D"
"20141",2647435,25,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",29000,"D"
"20141",2648105,35,0,"5","01","D","100","D","1","D",0.0475,"D",416,"D",85,"D","01","D",35000,"D"
"20141",2648325,21,0,"5","01","D","100","D","1","D",0.0475,"D",226,"D",374,"D","01","D",19000,"D"
"20141",2649205,60,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",50000,"D"
"20141",2649885,17,0,"5","01","D","100","D","1","D",0.0475,"D",178,"F",972,"F","01","D",15000,"F"
"20141",2650275,53,0,"5","01","D","100","D","1","D",0.0475,"D",475,"D",-112,"D","01","D",40000,"D"
"20141",2650735,38,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",0,"D"
"20141",2650865,28,0,"5","01","D","100","D","1","D",0.0475,"D",448,"D",1232,"D","01","D",37697,"D"
"20141",2651195,25,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",25000,"D"
"20141",2651505,17,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",6000,"D"
"20141",2652705,21,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",39000,"D"
"20141",2653195,45,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",21631,"D"
"20141",2653225,44,0,"5","01","D","100","D","1","D",0.0475,"D",56,"D",94,"D","01","D",4743,"D"
"20141",2654595,26,0,"5","01","D","100","D","1","D",0.0475,"D",238,"D",362,"D","01","D",20000,"D"
"20141",2655265,19,0,"5","01","D","100","D","1","D",0.0475,"D",226,"D",134,"D","01","D",19000,"D"
"20141",2655365,39,0,"5","01","D","100","D","1","D",0.0475,"D",249,"D",-39,"D","01","D",21000,"D"
"20141",2655585,17,0,"5","01","D","100","D","1","D",0.0475,"D",534,"D",6266,"D","01","D",45000,"D"
"20141",2655625,35,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",99000,"D"
"20141",2656795,19,0,"5","01","D","100","D","1","D",0.0475,"D",368,"F",382,"F","01","D",31000,"F"
"20141",2657425,22,0,"5","01","D","100","D","1","D",0.0475,"D",546,"D",2004,"D","01","D",46000,"D"
"20141",2657905,30,0,"5","01","D","100","D","1","D",0.0475,"D",53,"D",286,"D","01","D",4500,"D"
"20141",2658185,18,0,"5","01","D","100","D","2","D",0.0475,"D",380,"F",-80,"F","01","D",32000,"F"
"20141",2658885,32,0,"5","01","D","100","D","1","D",0.0475,"D",297,"D",453,"D","01","D",25000,"D"
"20141",2659225,19,0,"5","01","D","100","D","1","D",0.0475,"D",48,"F",1002,"F","01","D",4000,"F"
"20141",2659555,40,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",0,"D"
"20141",2659715,77,0,"5","01","D","100","D","1","D",0.0475,"D",499,"D",1751,"D","01","D",42000,"D"
"20141",2659735,39,0,"5","01","D","100","D","1","D",0.0475,"D",867,"D",-207,"D","01","D",73000,"D"
"20141",2660605,41,0,"5","01","D","100","D","1","D",0.0475,"D",1905,"F",726,"F","01","D",160380,"F"
"20141",2660635,39,0,"5","01","D","100","D","1","D",0.0475,"D",475,"D",521,"D","01","D",40000,"D"
"20141",2661155,17,0,"5","01","D","100","D","2","D",0.0475,"D",1484,"F",21242,"V","01","D",125000,"F"
"20141",2661165,42,0,"5","01","D","300","D","1","D",0.0475,"D",926,"D",265,"D","01","D",78000,"D"
"20141",2661385,62,0,"5","01","D","100","D","1","D",0.0475,"D",321,"D",21242,"T","01","D",27000,"D"
"20141",2661575,24,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",28938,"D"
"20141",2662065,17,0,"5","01","D","100","D","1","D",0.0475,"D",445,"D",290,"D","01","D",37500,"D"
"20141",2662785,39,0,"5","01","D","100","D","1","D",0.0475,"D",143,"D",607,"D","01","D",12000,"D"
"20141",2663275,60,0,"5","01","D","100","D","1","D",0.0475,"D",344,"D",1856,"D","01","D",29000,"D"
"20141",2663795,36,0,"5","01","D","100","D","1","D",0.0475,"D",229,"D",189,"D","01","D",19283,"D"
"20141",2665135,20,0,"5","01","D","100","D","1","D",0.0475,"D",238,"D",812,"D","01","D",20000,"D"
"20141",2665305,21,0,"5","01","D","100","D",,"C",0.0475,"D",143,"F",1057,"F","01","D",12000,"F"
"20141",2665405,44,0,"5","01","D","100","D","1","D",0.0475,"D",392,"D",1408,"D","01","D",33000,"D"
"20141",2666365,33,0,"5","02","D","300","D","2","D",0.0475,"D",.,"A",.,"A","01","D",0,"D"
