"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","S17CODEA","S17C_DEA","S17GFTCA","S17G_TCA","SUBEXPX","SUBEXPX_","SUBMO","SUBMO_"
"20141",2647065,14,0,"1","830","D","1","D",30,"D","13","D"
"20141",2647065,15,0,"1","350","D","1","D",16,"D","13","D"
"20141",2647105,15,0,"1","510","D","1","D",40,"D","10","D"
"20141",2647105,16,0,"1","370","D","1","D",80,"D","12","D"
"20141",2647135,21,0,"1","610","D","1","D",6,"D","10","D"
"20141",2647135,22,0,"1","610","D","1","D",6,"D","11","D"
"20141",2647135,23,0,"1","610","D","1","D",6,"D","12","D"
"20141",2647165,34,0,"1","840","D","1","D",95,"D","12","D"
"20141",2647165,35,0,"1","150","D","1","D",35,"D","10","D"
"20141",2647205,48,0,"1","830","D","1","D",50,"D","13","D"
"20141",2647205,49,0,"1","600","D","1","D",250,"D","11","D"
"20141",2647205,50,0,"1","510","D","1","D",110,"D","11","D"
"20141",2647205,51,0,"1","160","D","1","D",10,"D","10","D"
"20141",2647205,52,0,"1","150","D","1","D",100,"D","12","D"
"20141",2647205,53,0,"1","320","D","1","D",60,"D","12","D"
"20141",2647205,54,0,"1","360","D","1","D",8,"D","13","D"
"20141",2647355,27,0,"1","830","D","1","D",25,"D","13","D"
"20141",2647395,61,0,"1","840","D","1","D",100,"D","10","D"
"20141",2647395,62,0,"1","600","D","1","D",20,"D","10","D"
"20141",2647395,63,0,"1","600","D","1","D",20,"D","11","D"
"20141",2647395,64,0,"1","600","D","1","D",20,"D","12","D"
"20141",2647395,65,0,"1","320","D","1","D",25,"D","10","D"
"20141",2647395,66,0,"1","320","D","1","D",25,"D","12","D"
"20141",2647445,27,0,"1","340","D","2","D",125,"D","12","D"
"20141",2647485,21,0,"1","210","D","1","D",50,"D","10","D"
"20141",2647485,22,0,"1","340","D","1","D",44,"D","10","D"
"20141",2647575,22,0,"1","350","D","1","D",8,"D","13","D"
"20141",2647585,23,0,"1","210","D","1","D",6,"D","10","D"
"20141",2647585,24,0,"1","210","D","1","D",6,"D","11","D"
"20141",2647585,25,0,"1","210","D","1","D",6,"D","12","D"
"20141",2647585,26,0,"1","310","D","1","D",32,"D","11","D"
"20141",2647625,55,0,"1","160","D","1","D",5,"D","11","D"
"20141",2647625,56,0,"1","160","D","1","D",5,"D","12","D"
"20141",2647625,57,0,"1","510","D","1","D",25,"D","10","D"
"20141",2647635,14,0,"1","840","D","1","D",8,"D","12","D"
"20141",2647635,15,0,"1","840","D","1","D",8,"D","10","D"
"20141",2647635,16,0,"1","840","D","1","D",8,"D","11","D"
"20141",2647635,17,0,"1","330","D","1","D",15,"D","13","D"
"20141",2647645,23,0,"1","160","D","1","D",16,"D","10","D"
"20141",2647665,25,0,"1","160","D","1","D",2,"D","12","D"
"20141",2647705,11,0,"1","160","D","1","D",10,"D","11","D"
"20141",2647745,76,0,"1","830","D","1","D",40,"D","12","D"
"20141",2647745,77,0,"1","820","D","1","D",160,"D","12","D"
"20141",2647745,78,0,"1","510","D","1","D",45,"D","11","D"
"20141",2647745,79,0,"1","150","D","1","D",20,"D","10","D"
"20141",2647745,80,0,"1","150","D","1","D",20,"D","11","D"
"20141",2647745,81,0,"1","150","D","1","D",20,"D","12","D"
"20141",2647745,82,0,"1","210","D","1","D",100,"D","12","D"
"20141",2647745,83,0,"1","350","D","1","D",2,"D","13","D"
"20141",2647775,49,0,"1","500","D","1","D",42,"D","10","D"
"20141",2647775,50,0,"1","500","D","1","D",42,"D","11","D"
"20141",2647775,51,0,"1","510","D","1","D",45,"D","10","D"
"20141",2647775,52,0,"1","510","D","1","D",45,"D","11","D"
"20141",2647775,53,0,"1","510","D","1","D",45,"D","12","D"
"20141",2647775,54,0,"1","160","D","1","D",112,"D","10","D"
"20141",2647775,55,0,"1","160","D","1","D",112,"D","11","D"
"20141",2647775,56,0,"1","160","D","1","D",112,"D","12","D"
"20141",2647775,57,0,"1","210","D","1","D",40,"D","10","D"
"20141",2647775,58,0,"1","210","D","1","D",40,"D","11","D"
"20141",2647775,59,0,"1","210","D","1","D",40,"D","12","D"
"20141",2647805,32,0,"1","340","D","1","D",30,"D","12","D"
"20141",2647805,33,0,"1","340","D","1","D",30,"D","11","D"
"20141",2647805,34,0,"1","340","D","1","D",30,"D","10","D"
"20141",2647845,18,0,"1","840","D","1","D",100,"D","11","D"
"20141",2647845,19,0,"1","350","D","1","D",18,"D","13","D"
"20141",2647895,30,0,"1","210","D","1","D",60,"D","12","D"
"20141",2647925,19,0,"1","830","D","1","D",80,"D","13","D"
"20141",2647935,16,0,"1","160","D","1","D",15,"D","12","D"
"20141",2647975,10,0,"1","380","D","1","D",2,"D","12","D"
"20141",2647985,55,0,"1","150","D","1","D",85,"D","10","D"
"20141",2647985,56,0,"1","210","D","1","D",40,"D","10","D"
"20141",2647985,57,0,"1","210","D","1","D",49,"D","12","D"
"20141",2647985,58,0,"1","320","D","1","D",4,"D","11","D"
"20141",2647985,59,0,"1","340","D","1","D",85,"D","11","D"
"20141",2647995,49,0,"1","830","D","1","D",60,"D","13","D"
"20141",2647995,50,0,"1","500","D","1","D",20,"D","12","D"
"20141",2648075,54,0,"1","840","D","1","D",25,"D","10","D"
"20141",2648075,55,0,"1","150","D","1","D",23,"D","10","D"
"20141",2648075,56,0,"1","150","D","1","D",23,"D","11","D"
"20141",2648075,57,0,"1","150","D","1","D",23,"D","12","D"
"20141",2648075,58,0,"1","300","D","1","D",30,"D","12","D"
"20141",2648215,20,0,"1","160","D","1","D",5,"D","10","D"
"20141",2648215,21,0,"1","160","D","1","D",5,"D","11","D"
"20141",2648215,22,0,"1","160","D","1","D",5,"D","12","D"
"20141",2648255,17,0,"1","510","D","1","D",50,"D","12","D"
"20141",2648255,18,0,"1","350","D","1","D",30,"D","11","D"
"20141",2648325,29,0,"1","830","D","1","D",50,"D","13","D"
"20141",2648325,30,0,"1","350","D","1","D",8,"D","13","D"
"20141",2648455,87,0,"1","350","D","1","D",10,"D","13","D"
"20141",2648455,88,0,"1","360","D","1","D",9,"D","13","D"
"20141",2648455,89,0,"1","370","D","1","D",120,"D","12","D"
"20141",2648465,12,0,"1","150","D","1","D",8,"D","11","D"
"20141",2648465,13,0,"1","150","D","1","D",8,"D","12","D"
"20141",2648525,51,0,"1","360","D","1","D",8,"D","10","D"
"20141",2648525,52,0,"1","360","D","1","D",8,"D","11","D"
"20141",2648525,53,0,"1","360","D","1","D",8,"D","12","D"
"20141",2648525,54,0,"1","350","D","1","D",20,"D","12","D"
"20141",2648535,30,0,"1","510","D","1","D",6,"D","12","D"
"20141",2648535,31,0,"1","350","D","1","D",5,"D","13","D"
"20141",2648535,32,0,"1","370","D","2","D",35,"D","11","D"
"20141",2648575,14,0,"1","330","D","1","D",5,"D","13","D"
"20141",2648585,29,0,"1","500","D","1","D",75,"D","11","D"
"20141",2648585,30,0,"1","500","D","1","D",85,"D","12","D"
"20141",2648605,61,0,"1","810","D","1","D",20,"D","11","D"
"20141",2648605,62,0,"1","810","D","1","D",20,"D","11","D"
"20141",2648605,63,0,"1","150","D","1","D",20,"D","10","D"
"20141",2648605,64,0,"1","210","D","1","D",20,"D","11","D"
"20141",2648605,65,0,"1","150","D","1","D",67,"D","10","D"
"20141",2648605,66,0,"1","320","D","1","D",25,"D","11","D"
"20141",2648605,67,0,"1","370","D","1","D",15,"D","12","D"
"20141",2648705,37,0,"1","150","D","1","D",56,"D","10","D"
"20141",2648705,38,0,"1","150","D","1","D",167,"D","12","D"
"20141",2648705,39,0,"1","210","D","1","D",67,"D","10","D"
"20141",2648705,40,0,"1","210","D","1","D",37,"D","11","D"
"20141",2648705,41,0,"1","210","D","1","D",86,"D","12","D"
"20141",2648705,42,0,"1","340","D","1","D",18,"D","11","D"
"20141",2648755,39,0,"1","830","D","1","D",540,"D","10","D"
"20141",2648755,40,0,"1","600","D","1","D",50,"D","11","D"
"20141",2648755,41,0,"1","510","D","1","D",15,"D","11","D"
"20141",2648755,42,0,"1","510","D","1","D",15,"D","12","D"
"20141",2648755,43,0,"1","510","D","2","D",15,"D","11","D"
"20141",2648755,44,0,"1","510","D","2","D",15,"D","12","D"
"20141",2648755,45,0,"1","160","D","1","D",5,"D","10","D"
"20141",2648755,46,0,"1","160","D","1","D",5,"D","11","D"
"20141",2648755,47,0,"1","160","D","1","D",5,"D","12","D"
"20141",2648755,48,0,"1","150","D","1","D",26,"D","10","D"
"20141",2648755,49,0,"1","150","D","1","D",26,"D","11","D"
"20141",2648755,50,0,"1","150","D","1","D",26,"D","12","D"
"20141",2648755,51,0,"1","350","D","1","D",9,"D","13","D"
"20141",2648785,35,0,"1","830","D","1","D",37,"D","13","D"
"20141",2648925,15,0,"1","360","D","1","D",8,"D","13","D"
"20141",2648925,16,0,"1","370","D","1","D",65,"D","11","D"
"20141",2648925,17,0,"1","370","D","1","D",44,"D","12","D"
"20141",2648965,31,0,"1","360","D","1","D",8,"D","13","D"
"20141",2649025,20,0,"1","840","D","1","D",54,"D","11","D"
"20141",2649025,21,0,"1","160","D","1","D",21,"D","10","D"
"20141",2649025,22,0,"1","160","D","1","D",21,"D","11","D"
"20141",2649025,23,0,"1","160","D","1","D",21,"D","12","D"
"20141",2649025,24,0,"1","210","D","1","D",36,"D","12","D"
"20141",2649025,25,0,"1","340","D","1","D",48,"D","12","D"
"20141",2649105,34,0,"1","830","D","1","D",30,"D","13","D"
"20141",2649105,35,0,"1","610","D","1","D",160,"D","10","D"
"20141",2649105,36,0,"1","610","D","1","D",160,"D","11","D"
"20141",2649105,37,0,"1","510","D","1","D",80,"D","11","D"
"20141",2649105,38,0,"1","510","D","1","D",40,"D","12","D"
"20141",2649125,27,0,"1","510","D","1","D",20,"D","12","D"
"20141",2649125,28,0,"1","210","D","2","D",100,"D","12","D"
"20141",2649125,29,0,"1","310","D","1","D",16,"D","12","D"
"20141",2649125,30,0,"1","320","D","1","D",11,"D","12","D"
"20141",2649125,31,0,"1","340","D","1","D",20,"D","12","D"
"20141",2649205,74,0,"1","820","D","1","D",35,"D","12","D"
"20141",2649235,39,0,"1","160","D","1","D",25,"D","10","D"
"20141",2649235,40,0,"1","160","D","1","D",25,"D","11","D"
"20141",2649235,41,0,"1","160","D","1","D",25,"D","12","D"
"20141",2649235,42,0,"1","210","D","1","D",10,"D","10","D"
"20141",2649235,43,0,"1","210","D","1","D",10,"D","11","D"
"20141",2649235,44,0,"1","210","D","1","D",10,"D","12","D"
"20141",2649235,45,0,"1","320","D","1","D",14,"D","12","D"
"20141",2649235,46,0,"1","320","D","1","D",90,"D","12","D"
"20141",2649235,47,0,"1","360","D","1","D",8,"D","10","D"
"20141",2649275,14,0,"1","350","D","1","D",10,"D","10","D"
"20141",2649315,60,0,"1","510","D","1","D",15,"D","11","D"
"20141",2649315,61,0,"1","510","D","1","D",25,"D","11","D"
"20141",2649315,62,0,"1","340","D","1","D",5,"D","12","D"
"20141",2649315,63,0,"1","350","D","1","D",15,"D","13","D"
"20141",2649405,29,0,"1","210","D","1","D",12,"D","10","D"
"20141",2649405,30,0,"1","210","D","1","D",12,"D","11","D"
"20141",2649405,31,0,"1","210","D","1","D",12,"D","12","D"
"20141",2649405,32,0,"1","410","D","1","D",20,"D","10","D"
"20141",2649405,33,0,"1","410","D","1","D",20,"D","11","D"
"20141",2649405,34,0,"1","410","D","1","D",20,"D","12","D"
"20141",2649465,21,0,"1","210","D","1","D",12,"D","12","D"
"20141",2649475,29,0,"1","510","D","1","D",40,"D","12","D"
"20141",2649475,30,0,"1","350","D","1","D",3,"D","13","D"
"20141",2649485,55,0,"1","610","D","1","D",45,"D","11","D"
"20141",2649485,56,0,"1","150","D","1","D",13,"D","10","D"
"20141",2649485,57,0,"1","150","D","1","D",13,"D","11","D"
"20141",2649485,58,0,"1","150","D","1","D",13,"D","12","D"
"20141",2649485,59,0,"1","320","D","1","D",25,"D","12","D"
"20141",2649485,60,0,"1","350","D","1","D",12,"D","11","D"
"20141",2649485,61,0,"1","350","D","1","D",12,"D","12","D"
"20141",2649515,20,0,"1","210","D","1","D",75,"D","12","D"
"20141",2649535,101,0,"1","800","D","1","D",450,"D","13","D"
"20141",2649535,102,0,"1","830","D","1","D",45,"D","13","D"
