"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","NUMLOC","NUMLOC_","LOCLODGX","LOCL_DGX","ALCMEALX","ALCM_ALX","ALCGROCX","ALCG_OCX","LOCADMSX","LOCA_MSX","FOODLCDL","FOOD_CDL","LODGLCDL","LODG_CDL","ENTRLCDL","ENTR_CDL","ELSELCDL","ELSE_CDL","QLCMLAX","QLCMLAX_","QLCGLAX","QLCGLAX_"
"20141",2647935,17,0,"1",2,"D",164,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",100,"D",.,"A"
"20141",2655105,35,0,"1",2,"D",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",50,"D",.,"A"
"20141",2656385,58,0,"1",1,"D",150,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",75,"D",.,"A"
"20141",2658415,70,0,"1",1,"D",85,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",10,"D",.,"A"
"20141",2659465,59,0,"1",1,"D",165,"D",15,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",30,"D",.,"A"
"20141",2661795,39,0,"1",1,"D",75,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",50,"D",.,"A"
"20141",2662445,41,0,"1",8,"D",350,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",350,"D",.,"A"
"20141",2667825,63,0,"1",1,"D",112,"D",80,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",145,"D",.,"A"
"20141",2671765,34,0,"1",2,"D",.,"A",20,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",180,"D",.,"A"
"20141",2672925,44,0,"1",1,"D",105,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20141",2677305,30,0,"1",1,"D",70,"D",25,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",75,"D",50,"D"
"20141",2679235,39,0,"1",35,"D",1200,"D",300,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",0,"D",500,"D"
