"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VOPREGY","VOPREGY_","VOPMO_C","VOPMO_C_","VOPREGX","VOPREGX_","VOPRGY1","VOPRGY1_","VOPRGY2","VOPRGY2_","VOPRGY3","VOPRGY3_","VOPRGY4","VOPRGY4_"
"20141",2647395,78,0,"1","405","D","12","D",107,"D",,"A",,"A",,"A",,"A"
"20141",2647485,34,0,"1","420","D","10","D",155,"D",,"A",,"A",,"A",,"A"
"20141",2647585,31,0,"1","420","D","11","D",370,"D",,"A",,"A",,"A",,"A"
"20141",2647645,33,0,"1","420","D","10","D",55,"D",,"A",,"A",,"A",,"A"
"20141",2647685,50,0,"1","420","D","12","D",71,"D",,"A",,"A",,"A",,"A"
"20141",2647745,100,0,"1","400","D","12","D",5,"D",,"A",,"A",,"A",,"A"
"20141",2647745,101,0,"2","410","D","10","D",12,"D",,"A",,"A",,"A",,"A"
"20141",2647745,102,0,"2","400","D","10","D",15,"D",,"A",,"A",,"A",,"A"
"20141",2647745,103,0,"2","420","D","10","D",30,"D",,"A",,"A",,"A",,"A"
"20141",2647775,72,0,"1","420","D","11","D",75,"D",,"A",,"A",,"A",,"A"
"20141",2647775,73,0,"2","420","D","10","D",75,"D",,"A",,"A",,"A",,"A"
"20141",2647805,42,0,"1","400","D","11","D",22,"D",,"A",,"A",,"A",,"A"
"20141",2647805,43,0,"1","420","D","10","D",36,"D",,"A",,"A",,"A",,"A"
"20141",2647805,44,0,"1","420","D","10","D",78,"D",,"A",,"A",,"A",,"A"
"20141",2647845,26,0,"1","420","D","10","D",200,"D",,"A",,"A",,"A",,"A"
"20141",2647935,23,0,"1","400","D","11","D",20,"D",,"A",,"A",,"A",,"A"
"20141",2647965,32,0,"1","420","D","10","D",39,"D",,"A",,"A",,"A",,"A"
"20141",2647965,33,0,"1","420","D","11","D",39,"D",,"A",,"A",,"A",,"A"
"20141",2647985,73,0,"1","410","D","12","D",15,"D",,"A",,"A",,"A",,"A"
"20141",2647985,74,0,"1","420","D","12","D",107,"D",,"A",,"A",,"A",,"A"
"20141",2647995,60,0,"1","420","D","11","D",14,"D",,"A",,"A",,"A",,"A"
"20141",2648075,68,0,"2","420","D","10","D",60,"D",,"A",,"A",,"A",,"A"
"20141",2648165,21,0,"1","405","D","12","D",331,"D",,"A",,"A",,"A",,"A"
"20141",2648215,24,0,"1","420","D","10","D",25,"D",,"A",,"A",,"A",,"A"
"20141",2648255,25,0,"2","420","D","10","D",75,"D",,"A",,"A",,"A",,"A"
"20141",2648275,29,0,"2","420","D","10","D",544,"D",,"A",,"A",,"A",,"A"
"20141",2648345,32,0,"1","420","D","11","D",76,"D",,"A",,"A",,"A",,"A"
"20141",2648345,33,0,"2","420","D","10","D",85,"D",,"A",,"A",,"A",,"A"
