"NEWID","TAX_UNIT","TAXYR_CY","TAXYR_PY","DEPCNT","FICAR_CY","FICAR_PY","FILESTAT","FRATE_CY","FRATE_PY","SOI_ST","SOI_ST_","SRATE_CY","SRATE_PY","T65CT_CY","T65C__CY","T65CT_PY","T65C__PY","WAGE_HD","WAGE_HD_","WAGE_SP","WAGE_SP_","OTHTXINC","OTHT_INC","TAXPENS","TAXPENS_","SOSSECB","SOSSECB_","NONTXINC","NONT_INC","RNTPAID","RNTPAID_","PROPTXPD","PROP_XPD","AMTDEDCT","AMTD_DCT","CHLDCARE","CHLD_ARE","DEPUND17","DEPU_D17","OTHDEDCT","OTHD_DCT","FTAXOWE","STAXOWE","FTAXO_PY","FTAXO_CY","STAXO_PY","STAXO_CY","FICA_PY","FICA_CY","FDAGI_PY","FDAGI_CY","STAGI_PY","STAGI_CY","CHDTX_PY","CHDTX_CY","ADDTX_PY","ADDTX_CY","DPCAR_PY","DPCAR_CY","EITCR_PY","EITCR_CY","AMTIN_PY","AMTIN_CY","AMTOW_PY","AMTOW_CY","FRGTX_PY","FRGTX_CY","FTXBC_PY","FTXBC_CY","SSTDD_PY","SSTDD_CY","SITDD_PY","SITDD_CY","SPRCR_PY","SPRCR_CY","SDCAR_PY","SDCAR_CY","SEITC_PY","SEITC_CY","DIVINC"
2713475,1,"2013","2012",2,0.029,0.029,"2",0.2483,0.2483,"44","D",0,0,0,"D",0,"D",0,"D",150000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",5500,"D",1109,"D",0,"D",0,"D",7060,"D",21794,0,21945.74,21641.35,0,0,15800.4,18448.8,150000,150000,0,0,0,0,0,0,0,0,0,0,142940,142940,0,0,21945.74,21641.35,21945.74,21641.35,0,0,0,0,0,0,0,0,0,0,0
2713495,1,"2013","2012",0,0.153,0.133,"2",-0.0765,-0.0765,"38","D",-0.0046,-0.0046,0,"D",0,"D",910,"D",379,"D",1800,"D",0,"D",0,"D",0,"D",4500,"D",0,"D",0,"D",0,"D",0,"D",0,"D",-99,-6,-98.61,-98.61,-5.92,-5.92,171.44,197.22,3089,3089,3089.01,3089.01,0,0,0,0,0,0,98.61,98.61,3089,3089,0,0,0,0,0,0,4050.8,4160.02,0,0,0,0,0,0,5.92,5.92,0
2713515,1,"2013","2012",2,0,0,"3",-0.4,-0.4,"0","T",0,0,0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",1200,"D",0,"D",0,"D",0,"D",0,"D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2713535,1,"2013","2012",1,0.153,0.133,"3",0.15,0.15,"11","D",0.06,0.06,0,"D",0,"D",40000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",8400,"D",0,"D",0,"D",0,"D",1,"D",0,"D",1893,1660,1935,1850,1660,1660,5320,6120,40000,40000,40000.01,40000.01,1000,1000,0,0,0,0,0,0,40000,40000,0,0,2935,2850,2935,2850,2300,2300,0,0,0,0,0,0,0,0,0
2713555,1,"2013","2012",0,0.153,0.133,"2",0.2343,0.2337,"50","D",0.0627,0.065,0,"D",0,"D",53486,"D",74987,"D",0,"D",0,"D",0,"D",0,"D",0,"D",2200,"D",750,"D",0,"D",0,"D",3468,"D",18828,6879,18913.83,18741.62,7039.7,6718.53,17086.91,19656.37,128473,128473,128473.01,128473.01,0,0,0,0,0,0,0,0,125005,125005,0,0,18913.83,18741.62,18913.83,18741.62,0,0,3468,3468,0,0,0,0,0,0,0
2713565,1,"2013","2012",0,0.153,0.133,"2",0.1,0.15,"05","D",0.02,0.02,0,"D",0,"D",34000,"D",3000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",1728,225,1755,1700,229.26,220.13,4921,5661,37000,37000,37000.01,37000.01,0,0,0,0,0,0,0,0,37000,37000,0,0,1755,1700,1755,1700,7682,7812,0,0,0,0,0,0,0,0,0
2713575,1,"2013","2012",0,0.153,0.133,"2",0.15,0.15,"48","D",0,0,0,"D",0,"D",54684,"D",18038,"D",0,"D",0,"D",0,"D",0,"D",0,"D",4900,"D",386,"D",0,"D",0,"D",4392,"D",7065,0,7113.3,7015.8,0,0,9672.03,11126.47,72722,72722,0,0,0,0,0,0,0,0,0,0,72722,72722,0,0,7113.3,7015.8,7113.3,7015.8,0,0,0,0,0,0,0,0,0,0,0
2713585,1,"2013","2012",1,0,0,"3",-0.34,-0.34,"29","D",0,0,0,"D",0,"D",0,"D",0,"D",3187,"D",0,"D",0,"D",0,"D",0,"D",3100,"D",0,"D",0,"D",0,"D",5868,"D",0,0,0,0,0,0,0,0,3187,3187,0,0,0,0,0,0,0,0,0,0,3187,3187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2713615,1,"2013","2012",0,0,0,"1",-0.0765,-0.0765,"0","T",0,0,0,"D",0,"D",0,"D",0,"D",850,"D",0,"D",7536,"D",0,"D",2940,"D",0,"D",60,"D",0,"D",0,"D",0,"D",0,0,0,0,0,0,0,0,850,850,0,0,0,0,0,0,0,0,0,0,850,850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2713645,1,"2013","2012",0,0.029,0.029,"2",0.28,0.28,"02","D",0,0,1,"D",1,"D",0,"D",212937,"D",1800,"D",5000,"D",4219,"D",0,"D",0,"D",8600,"D",316,"D",0,"D",0,"D",17936,"D",40478,0,40662.6,40293.1,0,0,17625.57,20273.97,223323.15,223323.15,0,0,0,0,0,0,0,0,0,0,205387.15,205387.15,0,0,40662.6,40293.1,40662.6,40293.1,0,0,0,0,0,0,0,0,0,0,0
2713665,1,"2013","2012",0,0.153,0.133,"1",0,0,"44","D",0,0,1,"D",1,"D",6000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",1200,"D",55,"D",0,"D",0,"D",0,"D",0,0,0,0,0,0,798,918,6000,6000,0,0,0,0,0,0,0,0,0,0,6000,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2713685,1,"2013","2012",0,0.153,0.133,"2",0,0,"48","D",0,0,1,"D",1,"D",6632,"D",0,"D",0,"D",15000,"D",4595,"D",0,"D",0,"D",3600,"D",75,"D",0,"D",0,"D",16192,"D",0,0,0,0,0,0,882.06,1014.7,21632,21632,0,0,0,0,0,0,0,0,0,0,5440,5440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2713685,2,"2013","2012",0,0,0,"1",0.1,0.1,"48","D",0,0,1,"D",1,"D",0,"D",0,"D",0,"D",15000,"D",8645,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",365,0,380,350,0,0,0,0,15000,15000,0,0,0,0,0,0,0,0,0,0,15000,15000,0,0,380,350,380,350,0,0,0,0,0,0,0,0,0,0,0
2713695,1,"2013","2012",2,0.153,0.133,"2",0.25,0.25,"39","D",0.0307,0.0307,0,"D",0,"D",78899,"D",30000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",2300,"D",120,"D",0,"D",2,"D",1600,"D",10321,3343,10509.75,10132.25,3343.2,3343.2,14483.57,16661.55,108899,108899,108899.01,108899.01,2000,2000,0,0,0,0,0,0,108899,108899,0,0,12509.75,12132.25,12509.75,12132.25,0,0,0,0,0,0,0,0,0,0,0
2713765,1,"2013","2012",0,0.153,0.133,"2",0.2361,0.2358,"26","D",0.0554,0.0566,0,"D",0,"D",45000,"D",70000,"D",0,"D",0,"D",0,"D",0,"D",4560,"D",4300,"D",80,"D",0,"D",0,"D",10172,"D",14079,4266,14188.24,13970.24,4335.03,4197.03,15295,17595,115000,115000,115000.01,115000.01,0,0,0,0,0,0,0,0,104828,104828,0,0,14188.24,13970.24,14188.24,13970.24,11900,12200,21049.5,23349.5,0,0,0,0,0,0,0
2713775,1,"2013","2012",3,0.153,0.133,"3",-0.15,-0.15,"13","D",0,0,0,"D",0,"D",16000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",1400,"D",0,"D",0,"D",2,"D",9468,"D",-7918,-370,-7841,-7994,-350,-390,2128,2448,16000,16000,16000.01,16000.01,0,0,1950,1950,0,0,5891,6044,16000,16000,0,0,0,0,0,0,8700,8950,10868,10868,0,0,0,0,0,0,0
2713775,2,"2013","2012",3,0,0,"3",-0.45,-0.45,"13","D",0,0,0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",2,"D",0,"D",0,-380,0,0,-360,-400,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8700,8950,0,0,0,0,0,0,0,0,0
2713795,1,"2013","2012",0,0.153,0.133,"2",0.15,0.15,"05","D",0.06,0.08,0,"D",0,"D",93000,"D",0,"D",-6500,"D",0,"D",0,"D",0,"D",0,"D",2000,"D",405,"D",0,"D",0,"D",2768,"D",9131,2540,9180,9082.5,2576.38,2503.74,12369,14229,86500,86500,86500.01,86500.01,0,0,0,0,0,0,0,0,86500,86500,0,0,9180,9082.5,9180,9082.5,7682,7812,5173,5173,0,0,0,0,0,0,0
2713815,1,"2013","2012",0,0.153,0.133,"2",0.1,0.1,"29","D",0,0,0,"D",0,"D",0,"D",33908,"D",0,"D",0,"D",0,"D",0,"D",0,"D",2300,"D",378,"D",0,"D",0,"D",3732,"D",1416,0,1440.8,1390.8,0,0,4509.76,5187.92,33908,33908,0,0,0,0,0,0,0,0,0,0,33908,33908,0,0,1440.8,1390.8,1440.8,1390.8,0,0,0,0,0,0,0,0,0,0,0
2713845,1,"2013","2012",2,0,0,"3",0,0,"01","D",0,0,0,"D",0,"D",0,"D",0,"D",9210,"D",0,"D",0,"D",0,"D",0,"D",970,"D",120,"D",0,"D",0,"D",7440,"D",0,0,0,0,0,0,0,0,9210,9210,9210.01,9210.01,0,0,0,0,0,0,0,0,9210,9210,0,0,0,0,0,0,4700,4700,8530,8530,0,0,0,0,0,0,0
2713865,1,"2013","2012",2,0,0,"3",-0.4,-0.4,"10","D",0,0,0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",1200,"D",0,"D",0,"D",0,"D",6072,"D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2713875,1,"2013","2012",0,0,0,"1",0.225,0.225,"33","D",0,0,1,"D",1,"D",0,"D",0,"D",0,"D",23989,"D",11633,"D",0,"D",35632,"D",0,"D",0,"D",0,"D",0,"D",0,"D",1816,0,1843.76,1787.51,0,0,0,0,26391.75,26391.75,3989.01,3989.01,0,0,0,0,0,0,0,0,26391.75,26391.75,0,0,1843.76,1787.51,1843.76,1787.51,7500,7700,0,0,0,0,0,0,0,0,0
2713885,1,"2013","2012",0,0.153,0.133,"1",0.1,0.1,"10","D",0,0,0,"D",0,"D",14400,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",1100,"D",0,"D",0,"D",0,"D",0,"D",453,0,465,440,0,0,1915.2,2203.2,14400,14400,0,0,0,0,0,0,0,0,0,0,14400,14400,0,0,465,440,465,440,0,0,0,0,0,0,0,0,0,0,0
2713935,1,"2013","2012",2,0.153,0.133,"3",0,0,"39","D",0,0,0,"D",0,"D",15500,"D",0,"D",0,"D",0,"D",0,"D",0,"D",3612,"D",0,"D",0,"D",0,"D",1,"D",0,"D",-6304,0,-6236,-6372,0,0,2061.5,2371.5,15500,15500,15500.01,15500.01,0,0,1000,1000,0,0,5236,5372,15500,15500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2713975,1,"2013","2012",0,0.153,0.133,"1",0.1,0.1,"47","D",0,0,1,"D",1,"D",16767,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",1600,"D",0,"D",0,"D",0,"D",0,"D",542,0,556.7,526.7,0,0,2230.01,2565.35,16767,16767,4767.01,4767.01,0,0,0,0,0,0,0,0,16767,16767,0,0,556.7,526.7,556.7,526.7,3000,3000,0,0,0,0,0,0,0,0,0
2714005,1,"2013","2012",1,0.153,0.133,"3",0.2598,0.2598,"11","D",0.06,0.06,0,"D",0,"D",24568,"D",0,"D",0,"D",0,"D",0,"D",0,"D",9720,"D",0,"D",1130,"D",0,"D",1,"D",440,"D",-2246,734,-2148.81,-2343.53,734.08,734.08,3267.54,3758.9,24568,24568,24568.01,24568.01,826.8,781.8,173.2,218.2,0,0,1975.61,2125.33,24568,24568,0,0,826.8,781.8,826.8,781.8,2300,2300,0,0,0,0,0,0,0,0,0
2714015,1,"2013","2012",0,0.153,0.133,"2",0,0,"18","D",0,0,0,"D",0,"D",0,"D",7680,"D",0,"D",0,"D",0,"D",0,"D",0,"D",730,"D",0,"D",0,"D",0,"D",0,"D",-481,0,-475,-487,0,0,1021.44,1175.04,7680,7680,7680.01,7680.01,0,0,0,0,0,0,475,487,7680,7680,0,0,0,0,0,0,2290,2360,730,730,0,0,0,0,0,0,0
2714025,1,"2013","2012",1,0.153,0.133,"2",0.2775,0.2775,"44","D",0,0,0,"D",0,"D",38000,"D",0,"D",-1100,"D",5935,"D",19176,"D",0,"D",0,"D",6080,"D",2353,"D",0,"D",0,"D",200,"D",3978,0,4034.18,3921.68,0,0,5054,5814,55994.55,55994.55,0,0,0,0,0,0,0,0,0,0,55994.55,55994.55,0,0,4034.18,3921.68,4034.18,3921.68,0,0,0,0,0,0,0,0,0,0,0
2714025,2,"2013","2012",1,0.153,0.133,"2",0.15,0.15,"44","D",0,0,0,"D",0,"D",35000,"D",56000,"D",-750,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",1,"D",0,"D",8116,0,8172.5,8060,0,0,12103,13923,90250,90250,0,0,1000,1000,0,0,0,0,0,0,90250,90250,0,0,9172.5,9060,9172.5,9060,0,0,0,0,0,0,0,0,0,0,0
2714045,1,"2013","2012",2,0.153,0.133,"3",0.15,0.15,"33","D",0.0645,0.0645,0,"D",0,"D",50000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",2000,"D",0,"D",0,"D",2,"D",0,"D",1815,1267,1865,1765,1283.25,1250.11,6650,7650,50000,50000,50000.01,50000.01,2000,2000,0,0,0,0,0,0,50000,50000,0,0,3865,3765,3865,3765,10500,10800,0,0,0,0,0,0,0,0,0
2714055,1,"2013","2012",0,0,0,"2",0.15,0.15,"18","D",0,0,1,"D",1,"D",0,"D",0,"D",0,"D",28608,"D",21023,"D",0,"D",0,"D",2400,"D",100,"D",0,"D",0,"D",1600,"D",1124,0,1151.78,1096.78,0,0,0,0,32167.75,32167.75,0.01,0.01,0,0,0,0,0,0,0,0,32167.75,32167.75,0,0,1151.78,1096.78,1151.78,1096.78,2290,2360,4100,4100,0,0,0,0,0,0,0
2714065,1,"2013","2012",0,0.153,0.133,"1",0.1454,0.1454,"39","D",0.0307,0.0307,0,"D",0,"D",35055,"D",0,"D",-1377,"D",0,"D",0,"D",0,"D",0,"D",4800,"D",6725,"D",0,"D",0,"D",1164,"D",1969,1076,1981.92,1955.67,1076.19,1076.19,4662.32,5363.41,33678,33678,35055.01,35055.01,0,0,0,0,0,0,0,0,32514,32514,0,0,1981.92,1955.67,1981.92,1955.67,0,0,0,0,0,0,0,0,0,0,0
2714065,2,"2013","2012",0,0.153,0.133,"1",0.28,0.28,"39","D",0.0307,0.0307,0,"D",0,"D",104357,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",19832,3204,19950.46,19713.21,3203.76,3203.76,13879.48,15966.62,104357,104357,104357.01,104357.01,0,0,0,0,0,0,0,0,104357,104357,0,0,19950.46,19713.21,19950.46,19713.21,0,0,0,0,0,0,0,0,0,0,0
2714065,3,"2013","2012",0,0.153,0.133,"1",0.1765,0.1765,"39","D",0.0307,0.0307,0,"D",0,"D",10161,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",-276,312,-249.46,-303.29,311.94,311.94,1351.41,1554.63,10161,10161,10161.01,10161.01,0,0,0,0,0,0,290.56,319.39,10161,10161,0,0,41.1,16.1,41.1,16.1,0,0,0,0,0,0,0,0,0,0,0
2714075,1,"2013","2012",0,0.153,0.133,"2",0.15,0.15,"44","D",0,0,0,"D",0,"D",0,"D",32000,"D",20900,"D",0,"D",0,"D",0,"D",0,"D",4800,"D",0,"D",0,"D",0,"D",2228,"D",4091,0,4140,4042.5,0,0,4256,4896,52900,52900,0,0,0,0,0,0,0,0,0,0,52900,52900,0,0,4140,4042.5,4140,4042.5,0,0,0,0,0,0,0,0,0,0,0
2714105,1,"2013","2012",2,0.153,0.133,"3",0.3131,0.3631,"02","D",0,0,0,"D",0,"D",29000,"D",0,"D",425,"D",3200,"D",0,"D",0,"D",0,"D",3100,"D",0,"D",500,"D",2,"D",3204,"D",-2983,0,-2838.62,-3126.43,0,0,3857,4437,32625,32625,0,0,1127.81,1066.56,872.19,933.44,130.94,130.94,1966.43,2192.99,32625,32625,0,0,1258.75,1197.5,1258.75,1197.5,0,0,0,0,0,0,0,0,0,0,0
2714115,1,"2013","2012",0,0.153,0.133,"2",0.0765,0.0765,"0","T",0,0,1,"D",0,"D",15000,"D",0,"D",0,"D",0,"D",26279,"D",0,"D",0,"D",2500,"D",1923,"D",0,"D",0,"D",180,"D",-340,0,-322,-357.71,0,0,1995,2295,15000,15000,0,0,0,0,0,0,0,0,322,357.71,15000,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2714145,1,"2013","2012",2,0.153,0.133,"2",0.15,0.15,"0","T",0,0,0,"D",0,"D",35000,"D",0,"D",12000,"D",3000,"D",0,"D",0,"D",8700,"D",0,"D",324,"D",0,"D",1,"D",0,"D",1501,0,1565,1437.5,0,0,4655,5355,50000,50000,0,0,1000,1000,0,0,0,0,0,0,50000,50000,0,0,2565,2437.5,2565,2437.5,0,0,0,0,0,0,0,0,0,0,0
2714155,1,"2013","2012",0,0,0,"1",0.1,0.1,"39","D",0.0307,0.0307,0,"D",0,"D",0,"D",0,"D",16800,"D",0,"D",0,"D",0,"D",0,"D",480,"D",70,"D",0,"D",0,"D",0,"D",693,516,705,680,515.76,515.76,0,0,16800,16800,16800.01,16800.01,0,0,0,0,0,0,0,0,16800,16800,0,0,705,680,705,680,0,0,0,0,0,0,0,0,0,0,0
