"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","CONTCODE","CONT_ODE","CONTMO","CONTMO_","CONTEXPX","CONT_XPX"
"20141",2647105,2,0,"1","170","D","13","D",200,"D"
"20141",2647105,3,0,"1","150","D","12","D",10,"D"
"20141",2647135,2,0,"1","160","D","12","D",500,"D"
"20141",2647165,3,0,"1","170","D","12","D",700,"D"
"20141",2647165,4,0,"1","160","D","11","D",100,"D"
"20141",2647165,5,0,"1","160","D","12","D",150,"D"
"20141",2647165,6,0,"1","160","D","12","D",100,"D"
"20141",2647165,7,0,"1","150","D","11","D",50,"D"
"20141",2647165,8,0,"1","150","D","12","D",100,"D"
"20141",2647165,9,0,"2","170","D","10","D",10,"D"
"20141",2647205,6,0,"1","160","D","13","D",50,"D"
"20141",2647295,7,0,"1","150","D","13","D",250,"D"
"20141",2647355,5,0,"1","170","D","12","D",1500,"D"
"20141",2647355,6,0,"1","160","D","13","D",300,"D"
"20141",2647395,15,0,"1","170","D","11","D",50,"D"
"20141",2647395,16,0,"1","170","D","10","D",400,"D"
"20141",2647395,17,0,"1","170","D","12","D",20,"D"
"20141",2647395,18,0,"1","150","D","12","D",15,"D"
"20141",2647435,4,0,"1","150","D","13","D",300,"D"
"20141",2647445,1,0,"1","170","D","12","D",20,"D"
"20141",2647445,2,0,"1","150","D","13","D",190,"D"
"20141",2647445,3,0,"1","150","D","12","D",900,"D"
"20141",2647505,3,0,"1","160","D","12","D",115,"D"
"20141",2647585,3,0,"1","170","D","12","D",300,"D"
"20141",2647585,4,0,"1","150","D","13","D",120,"D"
"20141",2647585,5,0,"1","160","D","12","D",300,"D"
"20141",2647585,6,0,"2","170","D","10","D",150,"D"
"20141",2647625,11,0,"1","100","D","13","D",300,"D"
"20141",2647625,12,0,"1","150","D","13","D",30,"D"
"20141",2647665,2,0,"1","150","D","13","D",300,"D"
"20141",2647665,3,0,"1","160","D","13","D",35,"D"
"20141",2647685,9,0,"1","170","D","12","D",550,"D"
"20141",2647685,10,0,"2","170","D","10","D",10,"D"
"20141",2647745,23,0,"1","170","D","13","D",100,"D"
"20141",2647745,24,0,"1","170","D","13","D",100,"D"
"20141",2647745,25,0,"1","170","D","12","D",100,"D"
"20141",2647745,26,0,"1","160","D","11","D",100,"D"
"20141",2647745,27,0,"1","160","D","10","D",100,"D"
"20141",2647745,28,0,"1","160","D","11","D",100,"D"
"20141",2647745,29,0,"1","160","D","12","D",100,"D"
"20141",2647775,7,0,"1","170","D","12","D",1100,"D"
"20141",2647775,8,0,"1","130","D","11","D",250,"D"
"20141",2647775,9,0,"1","130","D","10","D",500,"D"
"20141",2647775,10,0,"1","160","D","10","D",500,"D"
"20141",2647775,11,0,"2","130","D","10","D",400,"D"
"20141",2647805,4,0,"1","170","D","12","D",150,"D"
"20141",2647805,5,0,"1","150","D","10","D",30,"D"
"20141",2647805,6,0,"1","150","D","11","D",25,"D"
"20141",2647805,7,0,"1","150","D","12","D",30,"D"
"20141",2647935,5,0,"1","110","D","13","D",300,"D"
"20141",2647965,3,0,"1","170","D","12","D",500,"D"
"20141",2647995,8,0,"1","150","D","12","D",2500,"D"
"20141",2648015,6,0,"1","110","D","13","D",400,"D"
"20141",2648035,2,0,"1","170","D","13","D",35,"D"
"20141",2648075,8,0,"1","170","D","12","D",20,"D"
"20141",2648075,9,0,"1","140","D","11","D",60,"D"
"20141",2648075,10,0,"1","160","D","13","D",25,"D"
"20141",2648105,7,0,"1","170","D","12","D",750,"D"
"20141",2648165,3,0,"1","150","D","13","D",350,"D"
"20141",2648245,1,0,"1","150","D","13","D",10,"D"
"20141",2648265,2,0,"1","160","D","13","D",20,"D"
"20141",2648345,5,0,"1","110","D","13","D",87,"D"
"20141",2648385,3,0,"1","170","D","12","D",275,"D"
"20141",2648455,8,0,"1","170","D","12","D",1000,"D"
"20141",2648455,9,0,"2","170","D","10","D",150,"D"
"20141",2648465,1,0,"1","160","D","12","D",75,"D"
"20141",2648465,2,0,"1","160","D","12","D",600,"D"
"20141",2648525,8,0,"1","130","D","12","D",100,"D"
"20141",2648525,9,0,"1","150","D","12","D",200,"D"
"20141",2648575,6,0,"1","170","D","12","D",20,"D"
"20141",2648575,7,0,"2","170","D","10","D",20,"D"
"20141",2648605,27,0,"1","170","D","12","D",1200,"D"
"20141",2648605,28,0,"1","150","D","11","D",20,"D"
"20141",2648605,29,0,"1","160","D","11","D",50,"D"
"20141",2648705,2,0,"1","170","D","12","D",200,"D"
"20141",2648705,3,0,"1","160","D","13","D",20,"D"
"20141",2648755,2,0,"1","170","D","10","D",150,"D"
"20141",2648755,3,0,"1","130","D","12","D",15000,"D"
"20141",2648755,4,0,"1","160","D","10","D",945,"D"
"20141",2648755,5,0,"1","160","D","11","D",2900,"D"
"20141",2648755,6,0,"1","160","D","12","D",200,"D"
"20141",2648755,7,0,"2","170","D","10","D",200,"D"
"20141",2648755,8,0,"2","150","D","10","D",1000,"D"
"20141",2648755,9,0,"2","160","D","10","D",500,"D"
"20141",2648785,11,0,"1","170","D","12","D",260,"D"
"20141",2648785,12,0,"1","150","D","10","D",2453,"D"
"20141",2648785,13,0,"1","160","D","12","D",150,"D"
"20141",2648785,14,0,"2","150","D","10","D",711,"D"
"20141",2648795,3,0,"1","170","D","10","D",25,"D"
"20141",2648845,1,0,"1","110","D","13","D",100,"D"
"20141",2648885,3,0,"1","160","D","12","D",120,"D"
"20141",2648965,5,0,"1","170","D","12","D",50,"D"
"20141",2648965,6,0,"1","150","D","13","D",100,"D"
"20141",2649075,10,0,"1","150","D","13","D",50,"D"
"20141",2649095,3,0,"1","150","D","13","D",100,"D"
"20141",2649125,3,0,"1","170","D","12","D",375,"D"
"20141",2649125,4,0,"1","150","D","13","D",100,"D"
"20141",2649125,5,0,"1","140","D","11","D",200,"D"
"20141",2649125,6,0,"1","150","D","12","D",500,"D"
"20141",2649125,7,0,"1","160","D","10","D",80,"D"
"20141",2649125,8,0,"1","160","D","11","D",115,"D"
"20141",2649125,9,0,"1","160","D","12","D",125,"D"
"20141",2649155,8,0,"1","160","D","13","D",50,"D"
"20141",2649185,8,0,"1","160","D","11","D",50,"D"
"20141",2649185,9,0,"1","160","D","10","D",20,"D"
"20141",2649205,14,0,"1","170","D","12","D",5000,"D"
"20141",2649205,15,0,"1","120","D","13","D",800,"D"
"20141",2649205,16,0,"1","160","D","12","D",125,"D"
"20141",2649225,1,0,"1","150","D","13","D",300,"D"
"20141",2649235,8,0,"1","170","D","10","D",15,"D"
"20141",2649235,9,0,"1","170","D","11","D",15,"D"
"20141",2649235,10,0,"1","170","D","12","D",35,"D"
"20141",2649235,11,0,"1","170","D","12","D",30,"D"
"20141",2649235,12,0,"1","140","D","12","D",10,"D"
"20141",2649235,13,0,"1","160","D","12","D",80,"D"
"20141",2649235,14,0,"1","160","D","10","D",35,"D"
"20141",2649235,15,0,"1","160","D","11","D",35,"D"
"20141",2649275,3,0,"1","170","D","12","D",200,"D"
"20141",2649275,4,0,"2","170","D","10","D",250,"D"
"20141",2649315,11,0,"1","170","D","12","D",100,"D"
"20141",2649315,12,0,"1","150","D","10","D",100,"D"
"20141",2649315,13,0,"1","150","D","11","D",200,"D"
"20141",2649375,6,0,"1","170","D","12","D",250,"D"
"20141",2649395,6,0,"1","170","D","13","D",25000,"D"
"20141",2649395,7,0,"1","150","D","13","D",2030,"D"
"20141",2649445,4,0,"1","150","D","13","D",30,"D"
"20141",2649445,5,0,"1","160","D","12","D",20,"D"
"20141",2649445,6,0,"2","160","D","10","D",200,"D"
"20141",2649465,8,0,"1","150","D","13","D",50,"D"
"20141",2649475,4,0,"1","170","D","12","D",30,"D"
"20141",2649485,23,0,"1","150","D","13","D",90,"D"
"20141",2649485,24,0,"1","160","D","13","D",25,"D"
"20141",2649515,1,0,"1","170","D","12","D",75,"D"
"20141",2649535,19,0,"1","130","D","12","D",5000,"D"
"20141",2649585,3,0,"1","100","D","13","D",100,"D"
"20141",2649585,4,0,"1","150","D","13","D",83,"D"
"20141",2649635,8,0,"1","130","D","13","D",200,"D"
"20141",2649635,9,0,"1","150","D","13","D",800,"D"
"20141",2649665,1,0,"1","170","D","12","D",35,"D"
"20141",2649665,2,0,"1","170","D","12","D",300,"D"
"20141",2649675,10,0,"1","170","D","11","D",150,"D"
"20141",2649675,11,0,"1","170","D","12","D",250,"D"
"20141",2649675,12,0,"1","150","D","13","D",70,"D"
"20141",2649705,3,0,"1","150","D","13","D",100,"D"
"20141",2649725,7,0,"1","170","D","12","D",600,"D"
"20141",2649725,8,0,"1","150","D","13","D",200,"D"
"20141",2649725,9,0,"1","160","D","11","D",80,"D"
"20141",2649775,2,0,"1","150","D","13","D",160,"D"
"20141",2649815,1,0,"1","150","D","13","D",10,"D"
"20141",2649895,8,0,"1","160","D","13","D",29,"D"
"20141",2649895,9,0,"1","140","D","12","D",50,"D"
"20141",2649965,8,0,"1","170","D","12","D",75,"D"
"20141",2649965,9,0,"1","150","D","12","D",10,"D"
"20141",2649965,10,0,"1","160","D","12","D",12,"D"
"20141",2649985,10,0,"1","170","D","12","D",100,"D"
"20141",2649985,11,0,"1","160","D","12","D",20,"D"
"20141",2650035,7,0,"1","160","D","13","D",20,"D"
"20141",2650095,3,0,"1","170","D","12","D",1300,"D"
"20141",2650115,1,0,"1","170","D","12","D",2000,"D"
"20141",2650115,2,0,"1","150","D","13","D",600,"D"
"20141",2650135,1,0,"1","150","D","13","D",80,"D"
"20141",2650155,8,0,"1","170","D","12","D",300,"D"
"20141",2650185,8,0,"1","170","D","10","D",13000,"D"
"20141",2650185,9,0,"1","160","D","13","D",450,"D"
"20141",2650195,12,0,"1","170","D","12","D",250,"D"
"20141",2650195,13,0,"1","170","D","10","D",100,"D"
"20141",2650195,14,0,"1","170","D","11","D",100,"D"
"20141",2650195,15,0,"1","170","D","12","D",500,"D"
"20141",2650275,11,0,"1","170","D","13","D",25,"D"
"20141",2650275,12,0,"1","170","D","12","D",30,"D"
"20141",2650275,13,0,"1","160","D","10","D",20,"D"
"20141",2650275,14,0,"1","160","D","11","D",55,"D"
"20141",2650275,15,0,"1","160","D","12","D",50,"D"
"20141",2650295,4,0,"1","170","D","12","D",20,"D"
"20141",2650295,5,0,"1","170","D","12","D",25,"D"
"20141",2650335,4,0,"1","170","D","12","D",200,"D"
"20141",2650335,5,0,"1","150","D","13","D",25,"D"
"20141",2650385,4,0,"1","100","D","13","D",300,"D"
"20141",2650445,1,0,"1","150","D","13","D",175,"D"
"20141",2650495,5,0,"1","170","D","12","D",160,"D"
"20141",2650515,3,0,"1","130","D","11","D",100,"D"
"20141",2650515,4,0,"2","130","D","10","D",120,"D"
"20141",2650545,1,0,"1","150","D","13","D",1000,"D"
"20141",2650575,13,0,"1","170","D","10","D",25,"D"
"20141",2650575,14,0,"1","170","D","11","D",25,"D"
"20141",2650575,15,0,"1","170","D","12","D",330,"D"
"20141",2650575,16,0,"1","150","D","13","D",120,"D"
"20141",2650575,17,0,"1","150","D","12","D",30,"D"
"20141",2650595,9,0,"1","170","D","12","D",130,"D"
"20141",2650595,10,0,"1","150","D","13","D",150,"D"
"20141",2650605,1,0,"1","150","D","13","D",40,"D"
"20141",2650615,2,0,"1","150","D","13","D",10,"D"
"20141",2650635,3,0,"1","100","D","13","D",100,"D"
"20141",2650635,4,0,"1","150","D","13","D",200,"D"
"20141",2650715,2,0,"1","160","D","12","D",4,"D"
"20141",2650715,3,0,"1","160","D","11","D",4,"D"
"20141",2650715,4,0,"1","160","D","10","D",4,"D"
"20141",2650715,5,0,"2","170","D","10","D",100,"D"
"20141",2650715,6,0,"2","160","D","10","D",5,"D"
"20141",2650735,8,0,"1","160","D","13","D",60,"D"
"20141",2650825,6,0,"1","100","D","13","D",150,"D"
"20141",2650825,7,0,"1","150","D","13","D",500,"D"
"20141",2650865,3,0,"1","150","D","12","D",85,"D"
"20141",2650865,4,0,"1","160","D","12","D",100,"D"
"20141",2650865,5,0,"2","160","D","10","D",100,"D"
"20141",2651015,4,0,"1","130","D","13","D",25,"D"
"20141",2651025,12,0,"1","150","D","13","D",20,"D"
"20141",2651045,1,0,"1","170","D","12","D",125,"D"
"20141",2651045,2,0,"1","150","D","13","D",80,"D"
"20141",2651165,4,0,"1","160","D","13","D",15,"D"
"20141",2651185,1,0,"1","100","D","13","D",1100,"D"
"20141",2651195,4,0,"1","110","D","13","D",400,"D"
"20141",2651205,6,0,"1","170","D","13","D",5,"D"
"20141",2651205,7,0,"1","110","D","13","D",1008,"D"
"20141",2651205,8,0,"1","130","D","12","D",50,"D"
"20141",2651225,10,0,"1","170","D","12","D",600,"D"
"20141",2651225,11,0,"1","170","D","12","D",13000,"D"
"20141",2651225,12,0,"2","170","D","10","D",111,"D"
"20141",2651235,2,0,"1","150","D","13","D",100,"D"
"20141",2651245,6,0,"1","170","D","12","D",50,"D"
"20141",2651245,7,0,"1","150","D","13","D",25,"D"
