"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOB","PROP0NOB","OWNYB","OWNYB_","OBSNSZB","OBSNSZB_","PROPTYPE","PROP_YPE","ACQUIRMO","ACQU_RMO","ACQUIRYR","ACQU_RYR","OWN_PURX","OWN__URX","OWNDPMTX","OWND_MTX","CLOSECST","CLOS_CST","QADPTAX","QADPTAX_","TIMESHAR","TIME_HAR","SHARWKS","SHARWKS_","SHARED1","SHARED1_","SHARPER1","SHAR_ER1","SHARED2","SHARED2_","SHARPER2","SHAR_ER2","GIFTPROP","GIFT_ROP","BSNEXP2","BSNEXP2_"
"20141",2647085,10,0,"5","01","D","100","D",.,"A","3","D","06","D","1975","D",.,"A",.,"A",.,"A",980,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20141",2647115,11,0,"5","01","D","100","D",.,"A","1","D",,"C","2006","D",.,"A",.,"A",.,"A",420,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20141",2647125,13,0,"5","01","D","100","D",.,"A","3","D","05","D","2013","D",175000,"D",7000,"D",.,"C",6100,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A","2","D","2","D"
"20141",2647135,16,0,"5","01","D","100","D",.,"A","1","D","11","D","2002","D",.,"A",.,"A",.,"A",2200,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20141",2647165,23,0,"5","01","D","100","D",.,"A","3","D","04","D","2001","D",.,"A",.,"A",.,"A",2000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20141",2647205,31,0,"5","01","D","100","D",.,"A","3","D","03","D","1986","D",.,"A",.,"A",.,"A",4000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20141",2647295,30,0,"5","01","D","100","D",.,"A","3","D",,"B","2003","D",.,"A",.,"A",.,"A",6000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20141",2647355,19,0,"5","01","D","100","D",.,"A","3","D","08","D","1994","D",.,"A",.,"A",.,"A",5500,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20141",2647395,53,0,"5","01","D","100","D",.,"A","3","D","05","D","1983","D",.,"A",.,"A",.,"A",1000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20141",2647435,23,0,"5","01","D","100","D",.,"A","3","D","01","D","1982","D",.,"A",.,"A",.,"A",1000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20141",2647445,20,0,"5","01","D","100","D",.,"A","3","D","01","D","1955","D",.,"A",.,"A",.,"A",1200,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20141",2647445,21,0,"5","02","D","400","D",.,"A","3","D",,"C","1978","D",.,"A",.,"A",.,"A",200,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20141",2647475,15,0,"5","01","D","100","D",.,"A","3","D",,"C","1994","D",.,"A",.,"A",.,"A",1700,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20141",2647485,16,0,"5","01","D","100","D",.,"A","3","D",,"B","2008","D",.,"A",.,"A",.,"A",6500,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20141",2647505,15,0,"5","01","D","100","D",0.01,"D","3","D",,"C","1983","D",.,"A",.,"A",.,"A",3400,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20141",2647585,35,0,"6","01","D","100","D",.,"A","3","D",,"B",,"B",.,"A",.,"A",.,"A",1400,"F",,"A",.,"A",,"A",.,"A",,"A",.,"A",,"A",,"A"
"20141",2647625,39,0,"5","01","D","100","D",.,"A","3","D","08","D","1996","D",.,"A",.,"A",.,"A",3200,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20141",2647625,40,0,"5","02","D","400","D",.,"A","3","D","12","D","2000","D",.,"A",.,"A",.,"A",160,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20141",2647645,14,0,"5","01","D","100","D",.,"A","3","D",,"B",,"C",.,"A",.,"A",.,"A",3700,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20141",2647665,20,0,"5","01","D","100","D",.,"A","3","D","07","D","1974","D",.,"A",.,"A",.,"A",200,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20141",2647675,4,0,"5","01","D","100","D",.,"A","3","D","06","D","1960","D",.,"A",.,"A",.,"A",18001,"T",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20141",2647685,39,0,"5","01","D","100","D",.,"A","1","D","10","D","1989","D",.,"A",.,"A",.,"A",550,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20141",2647705,6,0,"5","01","D","100","D",.,"A","3","D","07","D","1978","D",.,"A",.,"A",.,"A",1300,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20141",2647745,64,0,"5","01","D","100","D",.,"A","3","D","08","D","1987","D",.,"A",.,"A",.,"A",2700,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20141",2647755,8,0,"5","01","D","100","D",.,"A","3","D",,"B","1976","D",.,"A",.,"A",.,"A",1400,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20141",2647775,45,0,"5","01","D","100","D",.,"A","1","D",,"B","2004","D",.,"A",.,"A",.,"A",6800,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20141",2647845,12,0,"5","01","D","300","D",.,"A","3","D","07","D","2009","D",.,"A",.,"A",.,"A",30,"F","2","D",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20141",2647895,22,0,"5","01","D","100","D",.,"A","3","D","03","D","2002","D",.,"A",.,"A",.,"A",3600,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20141",2647925,10,0,"5","01","D","100","D",.,"A","3","D",,"B","2000","D",.,"A",.,"A",.,"A",8000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20141",2647965,17,0,"5","01","D","100","D",.,"A","3","D",,"C","1971","D",.,"A",.,"A",.,"A",9500,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20141",2647975,4,0,"5","01","D","100","D",.,"A","3","D","08","D","2004","D",.,"A",.,"A",.,"A",2000,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20141",2647985,42,0,"5","01","D","100","D",.,"A","3","D","06","D","2002","D",.,"A",.,"A",.,"A",4400,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20141",2647985,43,0,"5","02","D","300","D",.,"A","3","D",,"C","1990","D",.,"A",.,"A",.,"A",12594,"T","2","D",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20141",2647995,35,0,"5","01","D","100","D",.,"A","3","D","08","D","2005","D",.,"A",.,"A",.,"A",6000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20141",2648035,16,0,"5","01","D","100","D",.,"A","3","D","06","D","2005","D",.,"A",.,"A",.,"A",4600,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20141",2648065,24,0,"5","01","D","100","D",.,"A","3","D","10","D","1992","D",.,"A",.,"A",.,"A",2400,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20141",2648075,35,0,"5","01","D","100","D",.,"A","3","D","08","D","1986","D",.,"A",.,"A",.,"A",1500,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
