"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","SAMP_UN","SAMP_UN_","RTELECT","RTELECT_","RTGAS","RTGAS_","RTWATER","RTWATER_","RTHEAT","RTHEAT_","RTTRASH","RTTRASH_","RTASPAY","RTASPAY_","RTCOMPX","RTCOMPX_","RTBSNSZ","RTBSNSZ_","JRTPAYQV","JRTP_YQV","QRT3MCMX","RTTELEPH","QRT3_CMX","RTTE_EPH","RTTVCABL","RTTV_ABL","RTINTRNT","RTIN_RNT","RTFUNSH","RTFUNSH_","GOVTCOST","GOVT_OST","INCLBDS","INCLBDS_","INCLDRYR","INCL_RYR","INCLFRIG","INCL_RIG","INCLPDS","INCLPDS_","INCLSTOV","INCL_TOV","INCLWSHR","INCL_SHR","PUBLHOUS","PUBL_OUS","OWNED","OWNED_","RTPARK","RTPARK_"
"20141",2647065,13,0,"1","1","D","2","D","1","D","1","D","1","D","1","D","2","D",.,"A",.,"A",.,"A",1305,"2","D","D","2","D","2","D","2","D","1","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","2","D","2","D"
"20141",2647085,16,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2647105,14,0,"1","1","D",,"C",,"C",,"C","1","D","1","D","2","D",.,"A",.,"A",.,"A",1575,"2","F","D","2","D","2","D","2","D","2","D","1","D","2","D","1","D","2","D","1","D","2","D","2","D","2","D","1","D"
"20141",2647115,16,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2647135,20,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2647165,33,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2647205,47,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2647355,26,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2647395,60,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2647435,33,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
