"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","NUMNONCU","NUMN_NCU","TRNONCUX","TRNO_CUX","TRNONCUY","TRNO_CUY"
"20141",2649535,108,0,"1",2,"D",.,"H",,"A"
"20141",2649535,108,1,"1",.,"A",1277,"E","100","D"
"20141",2649535,108,2,"1",.,"A",344,"E","110","D"
"20141",2649535,108,3,"1",.,"A",2379,"E","130","D"
"20141",2650825,42,0,"1",1,"D",.,"H",,"A"
"20141",2650825,42,1,"1",.,"A",33,"E","100","D"
"20141",2650825,42,2,"1",.,"A",7,"E","110","D"
"20141",2650825,42,3,"1",.,"A",12,"E","120","D"
"20141",2650825,42,4,"1",.,"A",52,"E","130","D"
"20141",2650825,42,5,"1",.,"A",1,"E","140","D"
"20141",2650825,42,6,"1",.,"A",105,"E","150","D"
"20141",2650825,42,7,"1",.,"A",29,"E","160","D"
"20141",2650825,42,8,"1",.,"A",11,"E","170","D"
"20141",2650825,42,9,"1",.,"A",88,"E","180","D"
"20141",2650825,42,10,"1",.,"A",12,"E","190","D"
"20141",2652665,37,0,"1",1,"D",.,"H",,"A"
"20141",2652665,37,1,"1",.,"A",59,"E","100","D"
"20141",2652665,37,2,"1",.,"A",19,"E","110","D"
"20141",2652665,37,3,"1",.,"A",26,"E","200","D"
"20141",2652665,37,4,"1",.,"A",47,"E","210","D"
"20141",2652665,37,5,"1",.,"A",49,"E","220","D"
"20141",2654555,21,0,"1",1,"D",.,"H",,"A"
"20141",2654555,21,1,"1",.,"A",358,"E","100","D"
"20141",2654555,21,2,"1",.,"A",125,"E","110","D"
"20141",2654555,21,3,"1",.,"A",218,"E","120","D"
"20141",2654555,21,4,"1",.,"A",688,"E","130","D"
"20141",2654555,21,5,"1",.,"A",39,"E","140","D"
"20141",2654555,21,6,"1",.,"A",1238,"E","150","D"
"20141",2654555,21,7,"1",.,"A",143,"E","160","D"
"20141",2654555,21,8,"1",.,"A",158,"E","170","D"
"20141",2654555,21,9,"1",.,"A",366,"E","180","D"
"20141",2654555,21,10,"1",.,"A",167,"E","190","D"
