"QYEAR","NEWID","SEQNO","ALCNO","INTSERV","INTSERV_","INTMO","INTMO_","INTCHGX","INTCHGX_","INTSRV1","INTSRV1_","INTSRV2","INTSRV2_","INTSRV3","INTSRV3_","INTSRV4","INTSRV4_","INTSRV5","INTSRV5_","INTSRV6","INTSRV6_","INTSRV7","INTSRV7_","INTSRV8","INTSRV8_","INTSRV9","INTSRV9_"
"20141",2647115,19,0,"100","D","13","D",80,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2647125,25,0,"255","D","13","D",.,"H","200","D","100","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2647125,25,1,"200","D","13","D",42,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2647125,25,2,"100","D","13","D",78,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2647135,25,0,"100","D","13","D",25,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2647165,40,0,"200","D","13","D",48,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2647295,45,0,"100","D","13","D",78,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2647395,73,0,"255","D","13","D",.,"H","200","D","100","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2647395,73,1,"200","D","13","D",53,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2647395,73,2,"100","D","13","D",95,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2647435,36,0,"100","D","13","D",55,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2647475,24,0,"100","D","13","D",130,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2647485,29,0,"100","D","13","D",46,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2647485,30,0,"200","D","13","D",45,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2647505,27,0,"255","D","13","D",.,"H","200","D","100","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2647505,27,1,"200","D","13","D",56,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2647505,27,2,"100","D","13","D",104,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2647575,26,0,"200","D","13","D",50,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2647595,18,0,"100","D","13","D",145,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2647595,19,0,"200","D","13","D",19,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2647625,64,0,"100","D","13","D",75,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2647625,65,0,"100","D","10","D",75,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2647635,21,0,"200","D","13","D",70,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2647645,28,0,"100","D","13","D",30,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2647645,29,0,"200","D","13","D",49,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2647665,29,0,"100","D","13","D",27,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2647805,39,0,"255","D","13","D",.,"H","200","D","100","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2647805,39,1,"200","D","13","D",45,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2647805,39,2,"100","D","13","D",82,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2647935,20,0,"255","D","13","D",.,"H","200","D","100","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2647935,20,1,"200","D","13","D",46,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2647935,20,2,"100","D","13","D",84,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2647975,14,0,"100","D","13","D",57,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2647985,71,0,"200","D","13","D",25,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2647995,56,0,"255","D","13","D",.,"H","200","D","100","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2647995,56,1,"200","D","13","D",43,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2647995,56,2,"100","D","13","D",77,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2648015,29,0,"200","D","13","D",50,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2648035,34,0,"255","D","13","D",.,"H","200","D","100","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2648035,34,1,"200","D","13","D",99,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2648035,34,2,"100","D","13","D",181,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2648105,53,0,"100","D","13","D",95,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2648105,54,0,"200","D","13","D",46,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2648165,18,0,"100","D","13","D",120,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2648245,20,0,"100","D","13","D",65,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2648275,27,0,"100","D","13","D",71,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2648345,27,0,"100","D","13","D",56,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2648455,96,0,"200","D","13","D",70,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2648455,97,0,"200","D","13","D",50,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2648465,18,0,"100","D","13","D",73,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2648505,54,0,"100","D","10","D",80,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2648505,55,0,"100","D","11","D",80,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2648505,56,0,"100","D","12","D",80,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2648525,61,0,"255","D","13","D",.,"H","200","D","100","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2648525,61,1,"200","D","13","D",28,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20141",2648525,61,2,"100","D","13","D",52,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
