"NEWID","TAX_UNIT","TAXYR_CY","TAXYR_PY","DEPCNT","FICAR_CY","FICAR_PY","FILESTAT","FRATE_CY","FRATE_PY","SOI_ST","SOI_ST_","SRATE_CY","SRATE_PY","T65CT_CY","T65C__CY","T65CT_PY","T65C__PY","WAGE_HD","WAGE_HD_","WAGE_SP","WAGE_SP_","OTHTXINC","OTHT_INC","TAXPENS","TAXPENS_","SOSSECB","SOSSECB_","NONTXINC","NONT_INC","RNTPAID","RNTPAID_","PROPTXPD","PROP_XPD","AMTDEDCT","AMTD_DCT","CHLDCARE","CHLD_ARE","DEPUND17","DEPU_D17","OTHDEDCT","OTHD_DCT","FTAXOWE","STAXOWE","FTAXO_PY","FTAXO_CY","STAXO_PY","STAXO_CY","FICA_PY","FICA_CY","FDAGI_PY","FDAGI_CY","STAGI_PY","STAGI_CY","CHDTX_PY","CHDTX_CY","ADDTX_PY","ADDTX_CY","DPCAR_PY","DPCAR_CY","EITCR_PY","EITCR_CY","AMTIN_PY","AMTIN_CY","AMTOW_PY","AMTOW_CY","FRGTX_PY","FRGTX_CY","FTXBC_PY","FTXBC_CY","SSTDD_PY","SSTDD_CY","SITDD_PY","SITDD_CY","SPRCR_PY","SPRCR_CY","SDCAR_PY","SDCAR_CY","SEITC_PY","SEITC_CY","DIVINC"
2680255,1,"2013","2012",0,0.0297,0.0296,"2",0.2267,0.2267,"05","D",0.093,0.093,0,"D",0,"D",1245,"D",212937,"D",62,"D",0,"D",0,"D",0,"D",0,"D",8000,"D",105,"D",0,"D",0,"D",63736,"D",23642,8221,23700.27,23469.14,8241.93,8156.44,17791.16,20464.46,214244,214244,214244.01,214244.01,0,0,0,0,0,0,0,0,150508,150508,0,0,23700.27,23469.14,23700.27,23469.14,7682,7812,71841,71841,0,0,0,0,0,0,0
2680285,1,"2013","2012",0,0.153,0.133,"2",0.15,0.15,"47","D",0,0,2,"D",2,"D",11959,"D",13255,"D",150,"D",0,"D",23695,"D",0,"D",0,"D",2100,"D",40,"D",0,"D",0,"D",1520,"D",602,0,616.98,556.98,0,0,3353.46,3857.74,27969.75,27969.75,1364.01,1364.01,0,0,0,0,0,0,0,0,27969.75,27969.75,0,0,616.98,556.98,616.98,556.98,6000,6000,0,0,0,0,0,0,0,0,0
2680305,1,"2013","2012",1,0.153,0.133,"2",0.1486,0.1486,"05","D",0,0.02,0,"D",0,"D",29087,"D",22000,"D",5400,"D",0,"D",0,"D",0,"D",0,"D",4000,"D",0,"D",0,"D",1,"D",18200,"D",1416,6,1433.43,1365.31,7.64,0,6794.57,7816.31,56487,56487,56487.01,56487.01,1000,1000,0,0,0,0,0,0,38287,38287,0,0,2433.43,2365.31,2433.43,2365.31,7682,7812,22200,22200,0,0,0,0,0,0,0
2680325,1,"2013","2012",2,0,0,"3",-0.4,-0.4,"14","D",-0.04,-0.03,0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",4300,"D",0,"D",0,"D",0,"D",100,"D",0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2680365,1,"2013","2012",0,0.029,0.029,"1",0.28,0.28,"43","D",0,0,0,"D",0,"D",115000,"D",0,"D",-4300,"D",0,"D",0,"D",0,"D",0,"D",1200,"D",140,"D",0,"D",0,"D",0,"D",21667,0,21726.5,21489.25,0,0,14785.4,17433.8,110700,110700,0,0,0,0,0,0,0,0,0,0,110700,110700,0,0,21726.5,21489.25,21726.5,21489.25,0,0,0,0,0,0,0,0,0,0,0
2680445,1,"2013","2012",2,0.029,0.029,"2",0.325,0.325,"47","D",0.0575,0.0571,0,"D",0,"D",0,"D",212937,"D",2052,"D",0,"D",0,"D",0,"D",0,"D",26001,"D",0,"D",400,"D",2,"D",9412,"D",36391,9820,36587.53,35801.03,9815.74,9831.22,17625.57,20273.97,214989,214989,214989.01,214989.01,0,0,0,0,0,0,0,0,205577,205577,5531.65,5174.99,31055.88,30626.04,31055.88,30626.04,6000,6000,35682.15,35413,0,0,0,0,0,0,0
2680455,1,"2013","2012",2,0,0,"3",-0.4,-0.4,"39","D",0,0,0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",7283,"D",0,"D",6000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2680505,1,"2013","2012",0,0.153,0.133,"2",0.15,0.15,"01","D",0.0387,0.0425,0,"D",0,"D",39338,"D",8751,"D",0,"D",0,"D",0,"D",0,"D",0,"D",400,"D",0,"D",0,"D",0,"D",0,"D",3394,1804,3418.35,3320.85,1803.53,1804.47,6395.84,7357.62,48089,48089,48089.01,48089.01,0,0,0,0,0,0,0,0,48089,48089,0,0,3418.35,3320.85,3418.35,3320.85,4000,4000,3117.03,4078.81,0,0,0,0,0,0,0
2680525,1,"2013","2012",0,0.153,0.133,"1",0.15,0.25,"47","D",0.0575,0.0575,0,"D",0,"D",45663,"D",0,"D",0,"D",0,"D",0,"D",0,"D",8400,"D",0,"D",142,"D",0,"D",0,"D",200,"D",4982,2142,5008.25,4903.2,2142.15,2142.15,6073.18,6986.44,45663,45663,45663.01,45663.01,0,0,0,0,0,0,0,0,45663,45663,0,0,5008.25,4903.2,5008.25,4903.2,3000,3000,0,0,0,0,0,0,0,0,0
2680565,1,"2013","2012",3,0.153,0.133,"3",-0.45,-0.45,"05","D",0,0,0,"D",0,"D",9551,"D",0,"D",10,"D",0,"D",0,"D",0,"D",35632,"D",0,"D",0,"D",0,"D",0,"D",0,"D",-4298,0,-4297.95,-4297.95,0,0,1270.28,1461.3,9561,9561,9561.01,9561.01,0,0,0,0,0,0,4297.95,4297.95,9561,9561,0,0,0,0,0,0,7682,7812,0,0,0,0,0,0,0,0,0
